['diagnoses', 'part_of', 'affects', 'prevents']
['disrupts', 'inhibits', 'interacts_with', 'same_as']
['disrupts', 'disrupts', 'location_of', 'part_of']
['disrupts', 'disrupts', 'augments', 'causes']
['disrupts', 'occurs_in', 'inhibits', 'treats']
['disrupts', 'occurs_in', 'complicates', 'part_of']
['disrupts', 'isa', 'part_of', 'coexists_with']
['disrupts', 'affects', 'occurs_in', 'coexists_with']
['disrupts', 'augments', 'stimulates', 'stimulates']
['disrupts', 'diagnoses', 'affects', 'affects']
['disrupts', 'compared_with', 'location_of', 'prevents']
['disrupts', 'augments', 'isa', 'occurs_in']
['disrupts', 'complicates', 'disrupts', 'disrupts']
['disrupts', 'occurs_in', 'location_of', 'same_as']
['disrupts', 'produces', 'affects', 'associated_with']
['disrupts', 'location_of', 'disrupts', 'associated_with']
['disrupts', 'causes', 'inhibits', 'coexists_with']
['disrupts', 'interacts_with', 'inhibits', 'causes']
['disrupts', 'complicates']
['produces', 'associated_with', 'causes', 'stimulates']
['produces', 'associated_with', 'inhibits', 'affects']
['produces', 'complicates', 'prevents', 'augments']
['produces', 'isa', 'location_of', 'location_of']
['produces', 'treats']
['produces', 'stimulates', 'prevents', 'stimulates']
['produces', 'complicates', 'affects', 'isa']
['produces', 'augments', 'interacts_with', 'augments']
['produces', 'occurs_in', 'complicates', 'inhibits']
['produces', 'part_of', 'inhibits', 'same_as']
['produces', 'causes', 'treats', 'treats']
['produces', 'location_of', 'stimulates', 'disrupts']
['produces', 'disrupts', 'treats', 'produces']
['produces', 'part_of']
['produces', 'stimulates', 'part_of', 'compared_with']
['produces', 'augments', 'augments', 'affects']
['produces', 'complicates', 'interacts_with']
['produces', 'interacts_with', 'stimulates', 'compared_with']
['produces', 'diagnoses', 'produces', 'disrupts']
['produces', 'interacts_with', 'inhibits', 'produces']
['produces', 'compared_with', 'stimulates', 'interacts_with']
['produces', 'disrupts', 'complicates', 'augments']
['produces', 'causes', 'occurs_in', 'isa']
['produces']
['produces', 'location_of', 'causes', 'occurs_in']
['produces', 'augments', 'coexists_with', 'coexists_with']
['produces', 'complicates', 'location_of', 'stimulates']
['produces', 'location_of', 'interacts_with', 'interacts_with']
['produces', 'location_of', 'prevents', 'occurs_in']
['produces', 'complicates', 'diagnoses', 'produces']
['produces', 'produces', 'complicates', 'inhibits']
['produces', 'occurs_in', 'affects', 'coexists_with']
['produces', 'complicates']
['produces', 'complicates', 'diagnoses', 'causes']
['produces', 'coexists_with', 'occurs_in', 'diagnoses']
['produces', 'compared_with', 'prevents', 'produces']
['produces', 'complicates', 'prevents', 'occurs_in']
['produces', 'compared_with', 'produces', 'coexists_with']
['produces', 'complicates', 'interacts_with', 'isa']
['produces', 'produces', 'affects', 'inhibits']
['produces', 'location_of', 'interacts_with', 'associated_with']
['produces', 'location_of', 'associated_with', 'isa']
['produces', 'treats', 'inhibits', 'diagnoses']
['produces', 'complicates', 'diagnoses', 'disrupts']
['produces', 'occurs_in', 'causes', 'prevents']
['produces', 'produces', 'coexists_with', 'diagnoses']
['produces', 'complicates', 'treats']
['produces', 'inhibits', 'interacts_with', 'complicates']
['produces', 'treats', 'part_of', 'part_of']
['produces', 'affects', 'location_of', 'augments']
['produces', 'same_as', 'stimulates', 'compared_with']
['produces', 'coexists_with', 'prevents', 'disrupts']
['produces', 'same_as', 'produces', 'produces']
['produces', 'compared_with', 'occurs_in', 'part_of']
['produces', 'augments', 'causes', 'treats']
['produces', 'coexists_with', 'complicates', 'augments']
['produces', 'inhibits', 'compared_with', 'same_as']
['produces', 'prevents', 'occurs_in', 'treats']
['produces', 'part_of', 'prevents', 'compared_with']
['produces', 'complicates', 'produces', 'disrupts']
['produces', 'associated_with']
['produces', 'augments', 'augments', 'inhibits']
['produces', 'compared_with', 'affects', 'disrupts']
['produces', 'produces', 'compared_with', 'complicates']
['produces', 'treats', 'associated_with', 'coexists_with']
['produces', 'same_as', 'affects', 'isa']
['produces', 'part_of', 'treats', 'affects']
['produces', 'causes', 'isa', 'affects']
['produces', 'part_of', 'disrupts', 'treats']
['produces', 'complicates', 'interacts_with', 'treats']
['produces', 'augments', 'diagnoses', 'stimulates']
['produces', 'disrupts', 'compared_with', 'location_of']
['produces', 'prevents', 'complicates', 'associated_with']
['produces', 'produces', 'isa', 'isa']
['produces', 'coexists_with', 'associated_with', 'disrupts']
['produces', 'compared_with', 'location_of', 'disrupts']
['produces', 'produces', 'causes', 'part_of']
['produces', 'location_of', 'isa']
['produces', 'compared_with', 'disrupts', 'associated_with']
['produces', 'interacts_with', 'augments', 'diagnoses']
['produces', 'inhibits', 'occurs_in', 'location_of']
['produces', 'isa', 'affects', 'stimulates']
['produces', 'interacts_with', 'augments', 'produces']
['produces', 'compared_with', 'diagnoses', 'causes']
['produces', 'same_as', 'associated_with', 'stimulates']
['produces', 'complicates', 'location_of', 'produces']
['produces', 'complicates', 'same_as', 'occurs_in']
['produces', 'associated_with', 'associated_with', 'same_as']
['produces', 'produces', 'part_of', 'prevents']
['produces', 'compared_with', 'diagnoses', 'disrupts']
['produces', 'occurs_in', 'produces']
['produces', 'inhibits', 'complicates', 'complicates']
['produces', 'causes', 'compared_with', 'coexists_with']
['produces', 'disrupts', 'interacts_with', 'same_as']
['produces', 'interacts_with', 'stimulates', 'causes']
['produces', 'augments', 'diagnoses', 'inhibits']
['compared_with', 'same_as', 'disrupts', 'treats']
['compared_with', 'treats', 'occurs_in', 'prevents']
['compared_with', 'coexists_with', 'diagnoses', 'stimulates']
['compared_with', 'stimulates', 'stimulates', 'augments']
['compared_with', 'isa', 'same_as', 'associated_with']
['compared_with', 'complicates', 'part_of', 'compared_with']
['compared_with', 'location_of', 'stimulates']
['compared_with', 'coexists_with', 'same_as', 'same_as']
['compared_with', 'location_of', 'isa']
['compared_with', 'produces', 'inhibits', 'coexists_with']
['compared_with', 'compared_with', 'produces', 'inhibits']
['compared_with', 'interacts_with', 'disrupts', 'part_of']
['compared_with', 'causes', 'location_of', 'produces']
['compared_with', 'causes', 'affects', 'disrupts']
['compared_with', 'stimulates', 'location_of', 'associated_with']
['compared_with', 'affects', 'associated_with', 'compared_with']
['compared_with', 'occurs_in', 'inhibits', 'causes']
['compared_with', 'compared_with', 'part_of', 'prevents']
['compared_with', 'occurs_in', 'treats', 'diagnoses']
['compared_with', 'disrupts', 'treats', 'location_of']
['compared_with', 'produces', 'associated_with', 'interacts_with']
['compared_with']
['compared_with', 'prevents', 'affects', 'prevents']
['compared_with', 'location_of', 'occurs_in', 'causes']
['compared_with', 'affects', 'prevents', 'coexists_with']
['compared_with', 'inhibits', 'associated_with', 'affects']
['compared_with', 'diagnoses', 'inhibits', 'treats']
['compared_with', 'interacts_with', 'augments', 'disrupts']
['compared_with', 'augments', 'same_as', 'inhibits']
['compared_with', 'location_of', 'disrupts', 'compared_with']
['compared_with', 'augments', 'causes', 'associated_with']
['compared_with', 'produces', 'associated_with', 'affects']
['compared_with', 'location_of', 'treats', 'complicates']
['compared_with', 'coexists_with', 'affects', 'coexists_with']
['compared_with', 'produces', 'isa', 'isa']
['compared_with', 'isa', 'isa', 'interacts_with']
['compared_with', 'interacts_with', 'isa', 'coexists_with']
['compared_with', 'disrupts', 'coexists_with', 'stimulates']
['compared_with', 'location_of', 'same_as', 'same_as']
['compared_with', 'stimulates', 'coexists_with', 'augments']
['compared_with', 'coexists_with', 'coexists_with', 'diagnoses']
['compared_with', 'interacts_with', 'compared_with', 'location_of']
['compared_with', 'location_of', 'isa', 'produces']
['compared_with', 'produces', 'part_of', 'interacts_with']
['compared_with', 'stimulates']
['compared_with', 'part_of', 'stimulates', 'associated_with']
['compared_with', 'part_of', 'occurs_in', 'compared_with']
['compared_with', 'location_of', 'causes', 'causes']
['compared_with', 'treats', 'causes', 'same_as']
['compared_with', 'inhibits', 'diagnoses', 'compared_with']
['compared_with', 'compared_with', 'coexists_with', 'causes']
['compared_with', 'same_as', 'part_of', 'compared_with']
['compared_with', 'affects', 'interacts_with', 'stimulates']
['compared_with', 'disrupts', 'occurs_in', 'compared_with']
['compared_with', 'diagnoses', 'prevents', 'complicates']
['compared_with', 'causes', 'same_as', 'associated_with']
['compared_with', 'inhibits', 'part_of', 'augments']
['compared_with', 'causes', 'compared_with', 'affects']
['compared_with', 'interacts_with', 'isa', 'part_of']
['compared_with', 'causes', 'occurs_in', 'prevents']
['compared_with', 'inhibits', 'associated_with', 'isa']
['compared_with', 'produces', 'isa', 'disrupts']
['compared_with', 'produces', 'location_of', 'produces']
['compared_with', 'occurs_in', 'treats', 'prevents']
['compared_with', 'affects', 'disrupts', 'augments']
['compared_with', 'affects', 'augments', 'affects']
['compared_with', 'interacts_with', 'diagnoses', 'affects']
['compared_with', 'prevents', 'produces', 'complicates']
['compared_with', 'interacts_with', 'part_of', 'interacts_with']
['compared_with', 'interacts_with', 'same_as', 'same_as']
['compared_with', 'inhibits', 'causes']
['compared_with', 'same_as', 'associated_with', 'treats']
['compared_with', 'prevents', 'complicates', 'occurs_in']
['compared_with', 'stimulates', 'associated_with', 'location_of']
['compared_with', 'complicates', 'produces', 'complicates']
['compared_with', 'disrupts', 'treats', 'complicates']
['compared_with', 'diagnoses', 'compared_with']
['compared_with', 'isa', 'stimulates', 'part_of']
['compared_with', 'interacts_with', 'occurs_in', 'location_of']
['compared_with', 'occurs_in', 'stimulates', 'isa']
['compared_with', 'diagnoses', 'part_of', 'associated_with']
['compared_with', 'stimulates', 'part_of', 'prevents']
['compared_with', 'isa', 'prevents', 'treats']
['compared_with', 'produces', 'produces', 'interacts_with']
['compared_with', 'affects', 'affects', 'stimulates']
['compared_with', 'treats', 'disrupts', 'diagnoses']
['compared_with', 'disrupts', 'augments', 'complicates']
['compared_with', 'inhibits', 'isa', 'compared_with']
['compared_with', 'inhibits', 'interacts_with', 'associated_with']
['compared_with', 'treats', 'diagnoses', 'complicates']
['compared_with', 'treats', 'interacts_with', 'augments']
['compared_with', 'compared_with', 'affects', 'coexists_with']
['compared_with', 'augments', 'associated_with', 'treats']
['compared_with', 'affects', 'stimulates', 'inhibits']
['augments', 'stimulates', 'isa', 'treats']
['augments', 'location_of']
['augments', 'causes', 'stimulates', 'inhibits']
['augments', 'compared_with', 'produces', 'augments']
['augments', 'associated_with', 'causes', 'coexists_with']
['augments', 'stimulates', 'coexists_with', 'compared_with']
['augments', 'prevents', 'causes', 'part_of']
['augments', 'diagnoses', 'stimulates', 'location_of']
['augments', 'produces', 'stimulates', 'occurs_in']
['augments', 'location_of', 'causes', 'inhibits']
['augments', 'occurs_in', 'treats', 'diagnoses']
['augments', 'augments', 'complicates', 'augments']
['augments', 'causes', 'causes', 'complicates']
['augments', 'isa', 'prevents', 'affects']
['augments', 'same_as', 'stimulates', 'diagnoses']
['augments', 'coexists_with', 'complicates', 'stimulates']
['augments', 'prevents', 'same_as', 'treats']
['augments', 'isa', 'stimulates', 'associated_with']
['augments', 'causes', 'complicates', 'compared_with']
['augments', 'part_of', 'same_as', 'complicates']
['augments', 'coexists_with', 'treats', 'disrupts']
['augments', 'part_of', 'interacts_with', 'complicates']
['augments', 'coexists_with', 'associated_with', 'compared_with']
['augments', 'complicates', 'diagnoses', 'disrupts']
['augments', 'diagnoses', 'stimulates', 'compared_with']
['augments', 'affects', 'affects', 'diagnoses']
['augments']
['augments', 'treats', 'prevents', 'affects']
['augments', 'occurs_in']
['augments', 'location_of', 'affects', 'coexists_with']
['augments', 'occurs_in', 'isa', 'inhibits']
['augments', 'location_of', 'causes', 'causes']
['augments', 'same_as', 'compared_with', 'produces']
['augments', 'inhibits', 'causes', 'inhibits']
['augments', 'inhibits', 'inhibits', 'interacts_with']
['augments', 'interacts_with', 'augments', 'affects']
['augments', 'produces', 'treats']
['augments', 'inhibits', 'disrupts', 'occurs_in']
['augments', 'same_as', 'isa', 'diagnoses']
['augments', 'treats', 'occurs_in', 'stimulates']
['augments', 'causes', 'prevents', 'augments']
['augments', 'part_of', 'treats', 'causes']
['augments', 'compared_with', 'location_of', 'produces']
['augments', 'coexists_with', 'treats']
['augments', 'augments', 'isa', 'coexists_with']
['augments', 'diagnoses', 'associated_with', 'stimulates']
['augments', 'augments', 'inhibits', 'location_of']
['augments', 'treats', 'causes', 'compared_with']
['augments', 'location_of', 'location_of', 'diagnoses']
['augments', 'augments', 'stimulates', 'occurs_in']
['augments', 'treats', 'affects', 'disrupts']
['augments', 'associated_with', 'stimulates']
['augments', 'diagnoses', 'coexists_with', 'associated_with']
['augments', 'associated_with', 'complicates', 'isa']
['augments', 'complicates', 'prevents', 'coexists_with']
['augments', 'disrupts', 'location_of', 'location_of']
['augments', 'treats', 'diagnoses', 'coexists_with']
['augments', 'stimulates', 'treats', 'part_of']
['augments', 'isa', 'disrupts', 'disrupts']
['augments', 'complicates', 'part_of', 'coexists_with']
['augments', 'associated_with', 'coexists_with', 'part_of']
['augments', 'isa', 'augments', 'affects']
['augments', 'compared_with', 'causes', 'augments']
['augments', 'augments', 'same_as', 'produces']
['augments', 'part_of', 'compared_with', 'part_of']
['augments', 'affects', 'produces', 'complicates']
['augments', 'occurs_in', 'causes', 'interacts_with']
['augments', 'affects', 'disrupts', 'disrupts']
['augments', 'location_of', 'associated_with', 'disrupts']
['augments', 'diagnoses', 'isa', 'inhibits']
['augments', 'location_of', 'inhibits', 'complicates']
['augments', 'inhibits', 'diagnoses', 'disrupts']
['augments', 'treats', 'location_of', 'inhibits']
['augments', 'prevents', 'complicates', 'occurs_in']
['augments', 'prevents', 'inhibits']
['augments', 'stimulates', 'stimulates', 'stimulates']
['augments', 'augments']
['augments', 'same_as', 'inhibits', 'treats']
['augments', 'stimulates', 'coexists_with', 'prevents']
['augments', 'inhibits', 'augments', 'complicates']
['augments', 'stimulates', 'produces', 'disrupts']
['augments', 'isa', 'isa', 'same_as']
['augments', 'produces', 'compared_with', 'complicates']
['augments', 'prevents', 'interacts_with', 'associated_with']
['augments', 'interacts_with', 'location_of', 'treats']
['augments', 'location_of', 'occurs_in', 'augments']
['augments', 'location_of', 'isa', 'treats']
['augments', 'augments', 'produces', 'disrupts']
['augments', 'produces', 'produces', 'prevents']
['augments', 'causes', 'isa', 'augments']
['augments', 'diagnoses', 'part_of', 'occurs_in']
['augments', 'affects', 'augments', 'disrupts']
['augments', 'associated_with', 'part_of', 'produces']
['augments', 'prevents', 'isa', 'occurs_in']
['augments', 'complicates', 'prevents', 'interacts_with']
['augments', 'stimulates', 'treats', 'produces']
['augments', 'part_of', 'compared_with', 'prevents']
['augments', 'stimulates', 'stimulates', 'inhibits']
['augments', 'coexists_with', 'interacts_with', 'same_as']
['augments', 'prevents', 'diagnoses', 'treats']
['inhibits', 'interacts_with', 'produces', 'prevents']
['inhibits', 'associated_with', 'augments', 'stimulates']
['inhibits', 'prevents', 'stimulates', 'prevents']
['inhibits', 'complicates', 'affects', 'coexists_with']
['inhibits', 'causes', 'causes', 'associated_with']
['inhibits', 'treats', 'part_of', 'treats']
['inhibits', 'produces', 'isa', 'occurs_in']
['inhibits', 'produces', 'isa', 'same_as']
['inhibits', 'complicates', 'complicates', 'disrupts']
['inhibits', 'interacts_with', 'produces', 'isa']
['inhibits', 'affects', 'causes', 'stimulates']
['inhibits', 'augments', 'location_of', 'inhibits']
['inhibits', 'diagnoses', 'isa', 'diagnoses']
['inhibits', 'same_as', 'location_of', 'compared_with']
['inhibits', 'disrupts', 'stimulates', 'location_of']
['inhibits', 'prevents', 'associated_with', 'augments']
['inhibits', 'causes', 'disrupts', 'isa']
['inhibits', 'associated_with', 'diagnoses', 'disrupts']
['inhibits', 'coexists_with', 'isa', 'disrupts']
['inhibits', 'affects', 'complicates', 'interacts_with']
['inhibits', 'prevents', 'diagnoses', 'inhibits']
['inhibits', 'produces', 'inhibits', 'inhibits']
['inhibits', 'treats', 'affects', 'occurs_in']
['inhibits', 'isa', 'diagnoses', 'interacts_with']
['inhibits', 'augments']
['inhibits', 'associated_with', 'location_of', 'produces']
['inhibits', 'complicates', 'coexists_with', 'coexists_with']
['inhibits', 'compared_with', 'causes', 'stimulates']
['inhibits', 'associated_with', 'stimulates']
['inhibits', 'disrupts', 'coexists_with', 'diagnoses']
['inhibits', 'interacts_with', 'prevents', 'interacts_with']
['inhibits', 'isa', 'interacts_with', 'complicates']
['inhibits', 'disrupts', 'augments', 'inhibits']
['inhibits', 'same_as', 'produces', 'inhibits']
['inhibits', 'occurs_in', 'stimulates', 'prevents']
['inhibits', 'stimulates', 'isa', 'causes']
['inhibits', 'same_as', 'part_of', 'treats']
['inhibits', 'complicates', 'affects', 'interacts_with']
['inhibits', 'part_of', 'prevents', 'augments']
['inhibits', 'interacts_with', 'inhibits', 'compared_with']
['inhibits', 'stimulates', 'causes', 'compared_with']
['inhibits', 'diagnoses', 'inhibits', 'associated_with']
['inhibits', 'isa', 'inhibits', 'disrupts']
['inhibits', 'part_of', 'isa', 'disrupts']
['inhibits', 'stimulates', 'interacts_with', 'diagnoses']
['inhibits', 'compared_with', 'associated_with', 'occurs_in']
['inhibits', 'causes', 'interacts_with', 'disrupts']
['inhibits', 'treats', 'affects', 'complicates']
['inhibits', 'stimulates', 'prevents', 'affects']
['inhibits', 'treats', 'isa', 'causes']
['inhibits', 'treats', 'isa']
['inhibits', 'isa']
['inhibits', 'inhibits', 'stimulates', 'location_of']
['inhibits', 'inhibits', 'prevents', 'inhibits']
['inhibits', 'diagnoses', 'affects', 'diagnoses']
['inhibits', 'disrupts', 'prevents', 'causes']
['inhibits', 'diagnoses', 'occurs_in', 'diagnoses']
['inhibits', 'diagnoses', 'isa', 'associated_with']
['inhibits', 'diagnoses', 'stimulates', 'disrupts']
['inhibits', 'location_of', 'complicates', 'coexists_with']
['inhibits', 'coexists_with', 'augments', 'prevents']
['inhibits', 'produces', 'causes', 'causes']
['inhibits', 'treats', 'prevents', 'treats']
['inhibits', 'augments', 'part_of', 'produces']
['inhibits', 'causes', 'treats', 'associated_with']
['inhibits', 'coexists_with', 'affects', 'compared_with']
['inhibits', 'interacts_with', 'part_of', 'prevents']
['inhibits', 'causes', 'compared_with', 'produces']
['inhibits', 'augments', 'interacts_with', 'affects']
['inhibits', 'diagnoses', 'occurs_in', 'complicates']
['inhibits', 'stimulates', 'associated_with', 'associated_with']
['inhibits', 'coexists_with', 'diagnoses', 'coexists_with']
['inhibits', 'augments', 'compared_with']
['inhibits', 'disrupts', 'complicates', 'occurs_in']
['inhibits', 'treats', 'part_of', 'prevents']
['inhibits', 'location_of', 'part_of', 'produces']
['inhibits', 'isa', 'associated_with', 'affects']
['inhibits', 'produces', 'stimulates', 'affects']
['inhibits', 'isa', 'affects', 'associated_with']
['inhibits', 'coexists_with', 'interacts_with', 'compared_with']
['inhibits', 'occurs_in', 'location_of', 'inhibits']
['inhibits', 'stimulates', 'compared_with', 'occurs_in']
['inhibits', 'disrupts', 'inhibits', 'prevents']
['inhibits', 'same_as', 'inhibits', 'interacts_with']
['inhibits', 'treats', 'causes', 'interacts_with']
['inhibits', 'compared_with', 'complicates', 'coexists_with']
['inhibits', 'causes', 'interacts_with', 'prevents']
['inhibits']
['inhibits', 'same_as', 'prevents', 'stimulates']
['inhibits', 'prevents', 'occurs_in', 'inhibits']
['inhibits', 'complicates', 'interacts_with', 'prevents']
['inhibits', 'occurs_in', 'produces', 'augments']
['inhibits', 'same_as']
['inhibits', 'same_as', 'stimulates', 'disrupts']
['inhibits', 'isa', 'produces', 'location_of']
['causes', 'inhibits', 'disrupts', 'isa']
['causes', 'augments', 'affects', 'compared_with']
['causes', 'prevents', 'part_of', 'treats']
['causes', 'disrupts', 'treats', 'part_of']
['causes', 'coexists_with', 'part_of', 'produces']
['causes', 'treats', 'produces', 'isa']
['causes', 'stimulates', 'inhibits', 'associated_with']
['causes', 'complicates', 'inhibits', 'treats']
['causes', 'causes', 'associated_with', 'disrupts']
['causes', 'inhibits', 'prevents', 'stimulates']
['causes', 'complicates', 'produces', 'isa']
['causes', 'inhibits', 'prevents', 'disrupts']
['causes', 'produces', 'complicates', 'disrupts']
['causes', 'location_of', 'interacts_with', 'same_as']
['causes', 'location_of', 'compared_with', 'disrupts']
['causes', 'causes', 'augments']
['causes', 'prevents', 'coexists_with', 'augments']
['causes', 'complicates', 'part_of', 'occurs_in']
['causes', 'causes', 'prevents', 'stimulates']
['causes', 'coexists_with', 'interacts_with', 'coexists_with']
['causes', 'interacts_with', 'complicates', 'same_as']
['causes', 'disrupts', 'diagnoses', 'produces']
['causes', 'augments', 'occurs_in', 'part_of']
['causes', 'produces', 'complicates', 'prevents']
['causes', 'prevents', 'location_of', 'prevents']
['causes', 'disrupts', 'coexists_with', 'produces']
['causes', 'stimulates', 'interacts_with', 'affects']
['causes', 'inhibits', 'compared_with', 'inhibits']
['causes', 'treats', 'affects', 'affects']
['causes', 'coexists_with', 'disrupts', 'part_of']
['causes']
['causes', 'part_of', 'location_of', 'compared_with']
['causes', 'interacts_with', 'part_of', 'prevents']
['causes', 'complicates', 'disrupts', 'complicates']
['causes', 'location_of']
['causes', 'isa', 'interacts_with', 'causes']
['causes', 'affects', 'treats', 'causes']
['causes', 'stimulates', 'causes', 'interacts_with']
['causes', 'augments', 'produces', 'inhibits']
['causes', 'associated_with', 'inhibits', 'causes']
['causes', 'affects', 'causes', 'prevents']
['causes', 'stimulates', 'produces', 'interacts_with']
['causes', 'coexists_with', 'treats', 'same_as']
['causes', 'disrupts', 'occurs_in', 'associated_with']
['causes', 'produces', 'stimulates', 'compared_with']
['causes', 'compared_with', 'part_of', 'associated_with']
['causes', 'interacts_with', 'produces', 'stimulates']
['causes', 'augments', 'isa', 'augments']
['causes', 'affects', 'location_of', 'same_as']
['causes', 'treats']
['causes', 'stimulates', 'occurs_in', 'part_of']
['causes', 'associated_with', 'augments', 'augments']
['causes', 'stimulates', 'treats', 'part_of']
['causes', 'isa', 'diagnoses', 'prevents']
['causes', 'location_of', 'treats', 'stimulates']
['causes', 'prevents', 'coexists_with', 'treats']
['causes', 'diagnoses', 'prevents', 'part_of']
['causes', 'part_of', 'affects', 'affects']
['causes', 'coexists_with', 'occurs_in', 'diagnoses']
['causes', 'treats', 'coexists_with', 'treats']
['causes', 'affects', 'interacts_with', 'affects']
['causes', 'prevents', 'produces', 'treats']
['causes', 'disrupts', 'produces', 'diagnoses']
['causes', 'inhibits', 'treats', 'disrupts']
['causes', 'causes', 'stimulates', 'same_as']
['causes', 'causes', 'affects', 'isa']
['causes', 'part_of', 'compared_with', 'occurs_in']
['causes', 'produces', 'coexists_with', 'produces']
['causes', 'associated_with', 'occurs_in', 'stimulates']
['causes', 'affects', 'treats', 'inhibits']
['causes', 'produces', 'inhibits', 'inhibits']
['causes', 'prevents', 'compared_with', 'inhibits']
['causes', 'augments', 'produces', 'causes']
['causes', 'stimulates', 'associated_with', 'stimulates']
['causes', 'same_as', 'associated_with', 'complicates']
['causes', 'stimulates', 'causes', 'complicates']
['causes', 'affects', 'complicates', 'same_as']
['causes', 'produces', 'causes', 'interacts_with']
['causes', 'disrupts', 'stimulates', 'prevents']
['causes', 'affects', 'prevents', 'augments']
['causes', 'produces', 'augments', 'associated_with']
['causes', 'complicates', 'coexists_with', 'occurs_in']
['causes', 'affects', 'same_as', 'isa']
['causes', 'associated_with', 'causes', 'interacts_with']
['causes', 'associated_with', 'prevents', 'same_as']
['causes', 'compared_with', 'inhibits', 'produces']
['causes', 'treats', 'augments', 'isa']
['causes', 'disrupts', 'interacts_with', 'occurs_in']
['causes', 'occurs_in', 'prevents', 'associated_with']
['causes', 'stimulates', 'affects', 'location_of']
['causes', 'part_of', 'treats', 'inhibits']
['causes', 'produces', 'associated_with', 'compared_with']
['causes', 'treats', 'associated_with', 'inhibits']
['causes', 'affects', 'treats', 'diagnoses']
['stimulates', 'stimulates', 'disrupts', 'coexists_with']
['stimulates', 'treats', 'associated_with', 'associated_with']
['stimulates', 'causes', 'stimulates', 'produces']
['stimulates', 'prevents', 'disrupts', 'augments']
['stimulates', 'compared_with', 'associated_with']
['stimulates', 'disrupts', 'coexists_with', 'coexists_with']
['stimulates', 'disrupts', 'occurs_in', 'occurs_in']
['stimulates', 'causes', 'complicates', 'produces']
['stimulates', 'part_of', 'inhibits', 'same_as']
['stimulates', 'stimulates', 'causes', 'affects']
['stimulates', 'augments', 'same_as', 'produces']
['stimulates', 'location_of', 'complicates', 'treats']
['stimulates', 'interacts_with', 'disrupts', 'compared_with']
['stimulates', 'occurs_in', 'produces', 'occurs_in']
['stimulates', 'isa', 'same_as']
['stimulates', 'diagnoses', 'part_of', 'affects']
['stimulates', 'diagnoses', 'treats', 'causes']
['stimulates', 'produces', 'interacts_with', 'inhibits']
['stimulates', 'compared_with', 'inhibits', 'compared_with']
['stimulates', 'same_as', 'treats', 'diagnoses']
['stimulates', 'diagnoses']
['stimulates', 'disrupts', 'augments', 'disrupts']
['stimulates', 'prevents', 'augments', 'location_of']
['stimulates', 'diagnoses', 'prevents', 'produces']
['stimulates', 'inhibits', 'location_of', 'inhibits']
['stimulates', 'associated_with', 'part_of', 'interacts_with']
['stimulates', 'same_as', 'isa', 'compared_with']
['stimulates', 'interacts_with', 'treats', 'diagnoses']
['stimulates', 'compared_with', 'same_as', 'isa']
['stimulates', 'compared_with', 'associated_with', 'causes']
['stimulates', 'prevents', 'occurs_in', 'isa']
['stimulates', 'treats', 'causes', 'diagnoses']
['stimulates', 'stimulates', 'same_as', 'produces']
['stimulates', 'stimulates', 'associated_with', 'stimulates']
['stimulates', 'isa', 'affects', 'treats']
['stimulates', 'location_of', 'interacts_with', 'inhibits']
['stimulates', 'interacts_with', 'affects']
['stimulates', 'same_as', 'affects', 'interacts_with']
['stimulates', 'associated_with', 'diagnoses', 'location_of']
['stimulates', 'isa', 'interacts_with', 'location_of']
['stimulates', 'part_of']
['stimulates', 'affects', 'complicates', 'interacts_with']
['stimulates']
['stimulates', 'disrupts', 'produces', 'coexists_with']
['stimulates', 'part_of', 'causes', 'interacts_with']
['stimulates', 'coexists_with', 'complicates', 'part_of']
['stimulates', 'isa', 'isa', 'complicates']
['stimulates', 'interacts_with', 'complicates', 'isa']
['stimulates', 'part_of', 'part_of', 'same_as']
['stimulates', 'causes', 'part_of', 'affects']
['stimulates', 'stimulates', 'stimulates', 'produces']
['stimulates', 'occurs_in', 'isa', 'coexists_with']
['stimulates', 'coexists_with', 'complicates', 'augments']
['stimulates', 'augments', 'prevents', 'stimulates']
['stimulates', 'augments', 'same_as', 'treats']
['stimulates', 'treats', 'same_as', 'disrupts']
['stimulates', 'interacts_with', 'treats', 'isa']
['stimulates', 'prevents', 'inhibits', 'prevents']
['stimulates', 'location_of', 'occurs_in', 'affects']
['stimulates', 'part_of', 'diagnoses', 'occurs_in']
['stimulates', 'compared_with', 'location_of', 'prevents']
['stimulates', 'occurs_in', 'augments', 'treats']
['stimulates', 'coexists_with', 'affects', 'treats']
['stimulates', 'same_as', 'occurs_in', 'diagnoses']
['stimulates', 'augments', 'coexists_with', 'produces']
['stimulates', 'produces', 'part_of', 'prevents']
['stimulates', 'interacts_with', 'part_of', 'treats']
['stimulates', 'compared_with', 'disrupts', 'coexists_with']
['stimulates', 'occurs_in', 'augments', 'augments']
['stimulates', 'interacts_with']
['stimulates', 'interacts_with', 'augments', 'interacts_with']
['stimulates', 'diagnoses', 'complicates', 'prevents']
['stimulates', 'interacts_with', 'interacts_with', 'interacts_with']
['stimulates', 'complicates', 'treats', 'inhibits']
['stimulates', 'interacts_with', 'inhibits', 'inhibits']
['stimulates', 'complicates', 'occurs_in', 'interacts_with']
['stimulates', 'stimulates', 'occurs_in', 'part_of']
['stimulates', 'prevents', 'augments', 'compared_with']
['stimulates', 'augments', 'associated_with', 'disrupts']
['stimulates', 'part_of', 'location_of', 'disrupts']
