['diagnoses', 'produces', 'location_of', 'inhibits']
['disrupts', 'part_of', 'same_as', 'coexists_with']
['disrupts', 'complicates', 'augments', 'treats']
['disrupts', 'associated_with']
['disrupts', 'same_as', 'isa', 'coexists_with']
['disrupts', 'treats', 'isa', 'location_of']
['disrupts', 'treats', 'coexists_with', 'complicates']
['disrupts', 'coexists_with', 'treats', 'diagnoses']
['disrupts', 'affects']
['disrupts', 'coexists_with', 'affects', 'causes']
['disrupts', 'location_of', 'treats', 'disrupts']
['disrupts', 'associated_with', 'associated_with', 'stimulates']
['disrupts', 'produces', 'diagnoses', 'part_of']
['disrupts', 'diagnoses', 'produces', 'inhibits']
['disrupts', 'location_of', 'affects', 'disrupts']
['disrupts', 'stimulates', 'disrupts', 'same_as']
['disrupts', 'location_of', 'location_of', 'augments']
['disrupts', 'isa', 'causes', 'location_of']
['disrupts', 'stimulates', 'affects', 'causes']
['disrupts', 'location_of', 'stimulates', 'produces']
['disrupts', 'stimulates', 'causes', 'location_of']
['disrupts', 'isa', 'inhibits', 'produces']
['disrupts', 'treats', 'associated_with', 'augments']
['produces', 'location_of', 'same_as', 'produces']
['produces', 'interacts_with', 'causes', 'interacts_with']
['produces', 'prevents', 'complicates', 'occurs_in']
['produces', 'compared_with', 'same_as', 'augments']
['produces', 'diagnoses', 'augments', 'produces']
['produces', 'location_of', 'disrupts', 'occurs_in']
['produces', 'affects', 'part_of', 'location_of']
['produces', 'produces', 'augments', 'compared_with']
['produces', 'disrupts', 'causes', 'produces']
['produces']
['produces', 'affects', 'coexists_with', 'part_of']
['produces', 'inhibits', 'causes', 'augments']
['produces', 'compared_with', 'produces', 'isa']
['produces', 'same_as', 'compared_with', 'location_of']
['produces', 'affects', 'treats', 'augments']
['produces', 'complicates', 'stimulates', 'isa']
['produces', 'inhibits', 'occurs_in', 'part_of']
['produces', 'prevents', 'inhibits', 'treats']
['produces', 'occurs_in', 'occurs_in', 'interacts_with']
['produces', 'prevents', 'causes', 'causes']
['produces', 'disrupts', 'compared_with', 'treats']
['produces', 'augments', 'produces', 'causes']
['produces', 'affects', 'part_of', 'diagnoses']
['produces', 'prevents', 'affects', 'compared_with']
['produces', 'produces', 'coexists_with', 'treats']
['produces', 'disrupts', 'produces', 'augments']
['produces', 'coexists_with', 'coexists_with', 'compared_with']
['produces', 'coexists_with', 'produces', 'prevents']
['produces', 'disrupts', 'compared_with', 'causes']
['produces', 'compared_with', 'part_of', 'occurs_in']
['produces', 'isa']
['produces', 'produces', 'same_as', 'augments']
['produces', 'interacts_with', 'complicates', 'affects']
['produces', 'compared_with', 'treats', 'complicates']
['produces', 'diagnoses', 'coexists_with']
['produces', 'augments', 'occurs_in', 'produces']
['produces', 'occurs_in', 'compared_with', 'same_as']
['produces', 'occurs_in', 'affects', 'compared_with']
['produces', 'location_of', 'interacts_with', 'diagnoses']
['produces', 'occurs_in', 'same_as', 'causes']
['produces', 'isa', 'complicates', 'affects']
['produces', 'disrupts', 'occurs_in', 'augments']
['produces', 'stimulates', 'stimulates']
['produces', 'disrupts', 'associated_with', 'causes']
['produces', 'compared_with', 'same_as', 'same_as']
['produces', 'augments', 'location_of', 'interacts_with']
['produces', 'augments', 'causes', 'stimulates']
['produces', 'affects', 'complicates', 'interacts_with']
['produces', 'stimulates', 'inhibits', 'interacts_with']
['produces', 'associated_with', 'diagnoses', 'inhibits']
['produces', 'affects', 'isa', 'location_of']
['produces', 'associated_with', 'produces', 'occurs_in']
['produces', 'compared_with', 'coexists_with', 'disrupts']
['produces', 'stimulates', 'coexists_with', 'causes']
['produces', 'inhibits', 'compared_with', 'stimulates']
['produces', 'isa', 'diagnoses', 'complicates']
['produces', 'isa', 'isa', 'part_of']
['produces', 'compared_with', 'augments', 'associated_with']
['produces', 'same_as', 'occurs_in', 'prevents']
['produces', 'stimulates', 'same_as', 'interacts_with']
['produces', 'stimulates', 'treats', 'treats']
['produces', 'part_of', 'augments', 'associated_with']
['produces', 'augments', 'associated_with', 'diagnoses']
['produces', 'causes', 'isa', 'coexists_with']
['produces', 'inhibits', 'affects', 'compared_with']
['produces', 'same_as', 'diagnoses', 'causes']
['produces', 'complicates']
['produces', 'coexists_with', 'isa', 'associated_with']
['produces', 'affects', 'affects', 'coexists_with']
['produces', 'coexists_with', 'associated_with', 'coexists_with']
['produces', 'affects', 'same_as', 'complicates']
['produces', 'inhibits', 'complicates', 'augments']
['produces', 'isa', 'location_of', 'produces']
['produces', 'complicates', 'coexists_with', 'causes']
['produces', 'stimulates', 'interacts_with', 'part_of']
['produces', 'produces', 'stimulates']
['produces', 'affects', 'prevents', 'associated_with']
['produces', 'complicates', 'stimulates', 'part_of']
['produces', 'coexists_with', 'produces', 'location_of']
['produces', 'augments', 'compared_with', 'affects']
['produces', 'treats']
['produces', 'produces', 'location_of', 'prevents']
['produces', 'location_of', 'produces', 'prevents']
['produces', 'complicates', 'prevents', 'associated_with']
['produces', 'location_of', 'isa', 'same_as']
['produces', 'disrupts', 'disrupts', 'causes']
['produces', 'compared_with', 'part_of', 'part_of']
['produces', 'produces', 'diagnoses', 'complicates']
['produces', 'same_as', 'diagnoses', 'compared_with']
['produces', 'occurs_in', 'disrupts', 'isa']
['produces', 'causes', 'produces', 'treats']
['produces', 'disrupts', 'stimulates', 'prevents']
['produces', 'disrupts', 'diagnoses', 'same_as']
['produces', 'isa', 'inhibits', 'isa']
['produces', 'diagnoses', 'produces', 'same_as']
['produces', 'inhibits', 'part_of', 'treats']
['produces', 'interacts_with', 'isa', 'location_of']
['produces', 'coexists_with', 'part_of', 'inhibits']
['produces', 'compared_with', 'disrupts', 'location_of']
['compared_with', 'produces', 'compared_with', 'occurs_in']
['compared_with', 'part_of', 'causes', 'disrupts']
['compared_with', 'prevents', 'affects', 'compared_with']
['compared_with', 'associated_with', 'prevents', 'treats']
['compared_with', 'treats', 'interacts_with', 'affects']
['compared_with', 'part_of', 'coexists_with', 'treats']
['compared_with', 'stimulates', 'occurs_in']
['compared_with', 'isa', 'inhibits', 'produces']
['compared_with', 'same_as', 'associated_with', 'isa']
['compared_with', 'affects', 'produces', 'interacts_with']
['compared_with', 'interacts_with', 'diagnoses', 'prevents']
['compared_with', 'location_of', 'part_of', 'prevents']
['compared_with', 'produces', 'part_of', 'occurs_in']
['compared_with', 'same_as', 'stimulates', 'causes']
['compared_with', 'stimulates', 'complicates', 'interacts_with']
['compared_with', 'occurs_in', 'occurs_in', 'prevents']
['compared_with', 'complicates', 'part_of', 'augments']
['compared_with', 'produces', 'isa', 'stimulates']
['compared_with', 'interacts_with', 'location_of', 'augments']
['compared_with', 'causes', 'same_as', 'location_of']
['compared_with', 'disrupts', 'isa', 'complicates']
['compared_with', 'part_of', 'treats', 'causes']
['compared_with', 'occurs_in', 'complicates', 'same_as']
['compared_with', 'prevents', 'interacts_with', 'produces']
['compared_with', 'stimulates', 'occurs_in', 'disrupts']
['compared_with', 'treats', 'stimulates', 'causes']
['compared_with', 'complicates', 'inhibits', 'part_of']
['compared_with', 'compared_with', 'inhibits', 'treats']
['compared_with', 'affects', 'inhibits', 'associated_with']
['compared_with', 'augments', 'causes', 'diagnoses']
['compared_with', 'augments', 'augments', 'associated_with']
['compared_with', 'prevents', 'affects', 'produces']
['compared_with', 'inhibits', 'location_of', 'coexists_with']
['compared_with', 'part_of', 'occurs_in', 'coexists_with']
['compared_with', 'disrupts', 'treats', 'occurs_in']
['compared_with', 'prevents', 'coexists_with', 'treats']
['compared_with', 'produces', 'occurs_in', 'associated_with']
['compared_with', 'disrupts', 'prevents', 'part_of']
['compared_with', 'compared_with', 'part_of', 'interacts_with']
['compared_with', 'produces', 'stimulates', 'diagnoses']
['compared_with', 'causes', 'disrupts', 'same_as']
['compared_with', 'occurs_in', 'augments', 'diagnoses']
['compared_with', 'disrupts', 'isa', 'compared_with']
['compared_with', 'stimulates', 'produces', 'stimulates']
['compared_with', 'produces', 'complicates', 'produces']
['compared_with', 'treats', 'compared_with', 'diagnoses']
['compared_with', 'isa']
['compared_with', 'coexists_with', 'diagnoses', 'produces']
['compared_with', 'causes', 'associated_with', 'occurs_in']
['compared_with', 'diagnoses', 'inhibits', 'disrupts']
['compared_with', 'prevents', 'produces', 'produces']
['compared_with', 'inhibits', 'produces', 'causes']
['compared_with', 'isa', 'disrupts']
['compared_with', 'interacts_with', 'prevents', 'complicates']
['compared_with', 'prevents', 'diagnoses', 'occurs_in']
['compared_with', 'complicates', 'part_of', 'occurs_in']
['compared_with', 'prevents', 'compared_with', 'same_as']
['compared_with', 'disrupts', 'associated_with', 'isa']
['compared_with', 'produces', 'same_as', 'occurs_in']
['compared_with', 'augments', 'interacts_with', 'location_of']
['compared_with', 'coexists_with', 'produces', 'diagnoses']
['compared_with', 'location_of', 'part_of', 'stimulates']
['compared_with', 'interacts_with', 'interacts_with', 'causes']
['compared_with', 'occurs_in', 'part_of', 'disrupts']
['compared_with', 'isa', 'stimulates', 'diagnoses']
['compared_with', 'same_as', 'inhibits', 'location_of']
['compared_with', 'diagnoses', 'prevents', 'occurs_in']
['compared_with', 'causes', 'diagnoses', 'isa']
['compared_with', 'part_of', 'augments', 'compared_with']
['compared_with', 'occurs_in', 'disrupts', 'complicates']
['compared_with', 'location_of', 'produces']
['compared_with', 'stimulates', 'affects', 'inhibits']
['compared_with', 'augments', 'disrupts', 'interacts_with']
['compared_with', 'isa', 'disrupts', 'interacts_with']
['compared_with', 'disrupts', 'isa', 'causes']
['compared_with', 'occurs_in', 'complicates', 'disrupts']
['compared_with', 'occurs_in', 'isa', 'complicates']
['compared_with', 'coexists_with', 'associated_with', 'interacts_with']
['compared_with', 'causes', 'isa', 'augments']
['compared_with', 'affects', 'part_of', 'affects']
['compared_with', 'treats', 'complicates', 'same_as']
['compared_with']
['compared_with', 'location_of', 'compared_with', 'produces']
['compared_with', 'compared_with', 'coexists_with', 'compared_with']
['compared_with', 'complicates', 'isa', 'disrupts']
['compared_with', 'produces', 'diagnoses', 'causes']
['compared_with', 'coexists_with', 'isa', 'treats']
['compared_with', 'augments', 'prevents', 'prevents']
['compared_with', 'coexists_with', 'part_of', 'augments']
['compared_with', 'complicates', 'causes', 'inhibits']
['compared_with', 'stimulates', 'location_of', 'part_of']
['compared_with', 'location_of', 'occurs_in', 'causes']
['compared_with', 'part_of', 'isa']
['compared_with', 'disrupts', 'isa', 'coexists_with']
['compared_with', 'interacts_with', 'same_as', 'compared_with']
['augments', 'associated_with', 'occurs_in', 'causes']
['augments', 'part_of', 'same_as', 'compared_with']
['augments', 'stimulates', 'isa', 'inhibits']
['augments', 'isa', 'augments', 'same_as']
['augments', 'disrupts', 'diagnoses', 'interacts_with']
['augments', 'coexists_with', 'treats', 'treats']
['augments', 'disrupts', 'diagnoses', 'treats']
['augments', 'causes', 'part_of', 'produces']
['augments', 'prevents', 'augments', 'diagnoses']
['augments', 'stimulates', 'associated_with', 'diagnoses']
['augments', 'affects', 'location_of', 'isa']
['augments', 'coexists_with', 'prevents', 'diagnoses']
['augments', 'occurs_in', 'affects', 'diagnoses']
['augments', 'coexists_with']
['augments', 'occurs_in', 'occurs_in', 'isa']
['augments', 'same_as', 'affects', 'same_as']
['augments', 'isa', 'produces', 'inhibits']
['augments', 'coexists_with', 'inhibits', 'part_of']
['augments', 'occurs_in', 'disrupts', 'stimulates']
['augments', 'prevents', 'same_as', 'produces']
['augments', 'complicates', 'diagnoses', 'diagnoses']
['augments', 'diagnoses', 'occurs_in', 'inhibits']
['augments', 'causes', 'associated_with', 'causes']
['augments', 'stimulates', 'interacts_with', 'complicates']
['augments', 'diagnoses', 'prevents', 'inhibits']
['augments', 'disrupts', 'diagnoses', 'same_as']
['augments', 'coexists_with', 'associated_with', 'produces']
['augments', 'location_of', 'location_of', 'interacts_with']
['augments', 'affects', 'inhibits', 'occurs_in']
['augments', 'location_of', 'complicates', 'treats']
['augments', 'produces', 'augments', 'associated_with']
['augments', 'diagnoses', 'causes', 'same_as']
['augments', 'interacts_with', 'occurs_in', 'isa']
['augments', 'interacts_with', 'augments', 'affects']
['augments', 'causes', 'part_of', 'complicates']
['augments', 'interacts_with', 'treats', 'isa']
['augments', 'location_of', 'occurs_in', 'inhibits']
['augments', 'disrupts', 'inhibits', 'occurs_in']
['augments', 'causes', 'coexists_with', 'occurs_in']
['augments', 'stimulates', 'treats', 'produces']
['augments', 'prevents', 'occurs_in', 'interacts_with']
['augments', 'causes', 'disrupts', 'stimulates']
['augments', 'interacts_with', 'same_as', 'inhibits']
['augments', 'interacts_with', 'part_of', 'occurs_in']
['augments', 'augments', 'treats', 'disrupts']
['augments', 'stimulates', 'location_of', 'compared_with']
['augments', 'complicates', 'augments', 'augments']
['augments', 'complicates', 'disrupts', 'associated_with']
['augments', 'treats', 'causes', 'occurs_in']
['augments', 'coexists_with', 'part_of', 'stimulates']
['augments', 'treats', 'interacts_with', 'inhibits']
['augments', 'interacts_with', 'stimulates', 'same_as']
['augments', 'location_of', 'diagnoses', 'complicates']
['augments', 'prevents', 'causes', 'part_of']
['augments', 'part_of', 'treats', 'same_as']
['augments', 'augments', 'coexists_with', 'isa']
['augments', 'prevents', 'disrupts', 'causes']
['augments', 'isa', 'occurs_in', 'isa']
['augments']
['augments', 'part_of']
['augments', 'location_of', 'inhibits', 'associated_with']
['augments', 'treats', 'produces', 'occurs_in']
['augments', 'complicates', 'interacts_with', 'isa']
['augments', 'disrupts', 'same_as', 'prevents']
['augments', 'coexists_with', 'compared_with', 'interacts_with']
['augments', 'augments', 'occurs_in', 'stimulates']
['augments', 'stimulates', 'location_of', 'complicates']
['augments', 'compared_with', 'diagnoses', 'stimulates']
['augments', 'produces', 'disrupts', 'occurs_in']
['augments', 'stimulates', 'compared_with', 'coexists_with']
['augments', 'same_as', 'associated_with', 'augments']
['augments', 'associated_with', 'causes', 'disrupts']
['augments', 'complicates', 'part_of', 'produces']
['augments', 'produces', 'coexists_with', 'causes']
['augments', 'inhibits', 'diagnoses', 'causes']
['augments', 'produces', 'compared_with', 'augments']
['augments', 'complicates', 'occurs_in', 'compared_with']
['augments', 'causes', 'augments', 'stimulates']
['augments', 'treats', 'affects', 'diagnoses']
['augments', 'inhibits', 'isa', 'disrupts']
['augments', 'part_of', 'same_as', 'stimulates']
['augments', 'associated_with', 'compared_with', 'disrupts']
['augments', 'diagnoses', 'prevents', 'prevents']
['augments', 'diagnoses', 'interacts_with', 'isa']
['augments', 'inhibits', 'affects', 'causes']
['augments', 'stimulates', 'disrupts', 'disrupts']
['augments', 'prevents', 'affects', 'prevents']
['augments', 'prevents', 'part_of', 'location_of']
['augments', 'complicates', 'prevents', 'complicates']
['augments', 'disrupts', 'stimulates', 'augments']
['augments', 'stimulates', 'prevents', 'part_of']
['augments', 'disrupts', 'augments', 'treats']
['augments', 'stimulates', 'interacts_with', 'occurs_in']
['augments', 'disrupts', 'location_of', 'produces']
['augments', 'complicates', 'same_as', 'part_of']
['inhibits', 'interacts_with']
['inhibits', 'augments']
['inhibits', 'treats', 'prevents', 'isa']
['inhibits', 'part_of', 'location_of', 'disrupts']
['inhibits', 'stimulates', 'same_as', 'associated_with']
['inhibits', 'treats', 'location_of', 'associated_with']
['inhibits', 'augments', 'compared_with', 'stimulates']
['inhibits', 'location_of', 'associated_with', 'interacts_with']
['inhibits', 'stimulates', 'produces', 'causes']
['inhibits', 'interacts_with', 'interacts_with']
['inhibits', 'stimulates', 'occurs_in', 'compared_with']
['inhibits', 'isa', 'prevents', 'stimulates']
['inhibits', 'complicates', 'augments', 'complicates']
['inhibits', 'causes', 'location_of', 'interacts_with']
['inhibits', 'disrupts', 'inhibits', 'occurs_in']
['inhibits', 'diagnoses', 'inhibits', 'complicates']
['inhibits', 'complicates', 'causes', 'affects']
['inhibits', 'affects', 'part_of', 'affects']
['inhibits', 'treats', 'occurs_in', 'occurs_in']
['inhibits', 'coexists_with', 'inhibits']
['inhibits', 'compared_with', 'compared_with', 'inhibits']
['inhibits', 'affects', 'augments', 'prevents']
['inhibits', 'disrupts', 'complicates', 'augments']
['inhibits', 'coexists_with', 'part_of', 'location_of']
['inhibits', 'causes', 'occurs_in', 'same_as']
['inhibits', 'inhibits', 'part_of', 'diagnoses']
['inhibits', 'diagnoses', 'inhibits', 'location_of']
['inhibits', 'complicates', 'isa']
['inhibits', 'augments', 'compared_with', 'part_of']
['inhibits', 'inhibits', 'coexists_with', 'causes']
['inhibits', 'location_of', 'compared_with', 'occurs_in']
['inhibits', 'interacts_with', 'treats', 'compared_with']
['inhibits', 'produces', 'causes', 'isa']
['inhibits', 'same_as', 'treats', 'interacts_with']
['inhibits', 'interacts_with', 'causes', 'interacts_with']
['inhibits', 'same_as', 'disrupts', 'causes']
['inhibits', 'produces', 'compared_with', 'isa']
['inhibits', 'causes', 'location_of', 'disrupts']
['inhibits', 'occurs_in']
['inhibits', 'prevents', 'causes', 'location_of']
['inhibits', 'stimulates', 'location_of']
['inhibits', 'augments', 'stimulates', 'complicates']
['inhibits', 'coexists_with', 'diagnoses', 'associated_with']
['inhibits', 'disrupts', 'interacts_with', 'produces']
['inhibits', 'diagnoses', 'prevents', 'prevents']
['inhibits', 'stimulates', 'coexists_with', 'produces']
['inhibits', 'complicates', 'stimulates', 'causes']
['inhibits', 'occurs_in', 'compared_with', 'occurs_in']
['inhibits', 'diagnoses']
['inhibits', 'associated_with', 'complicates', 'inhibits']
['inhibits', 'isa', 'causes', 'diagnoses']
['inhibits', 'interacts_with', 'produces', 'coexists_with']
['inhibits', 'disrupts', 'treats', 'same_as']
['inhibits', 'interacts_with', 'affects', 'affects']
['inhibits', 'inhibits', 'isa', 'coexists_with']
['inhibits', 'associated_with', 'treats', 'augments']
['inhibits', 'treats', 'associated_with', 'diagnoses']
['inhibits', 'causes', 'complicates', 'location_of']
['inhibits', 'isa', 'causes', 'causes']
['inhibits', 'same_as', 'causes', 'treats']
['inhibits', 'affects', 'inhibits', 'stimulates']
['inhibits', 'compared_with', 'prevents', 'produces']
['inhibits', 'occurs_in', 'location_of', 'treats']
['inhibits', 'inhibits', 'associated_with', 'affects']
['inhibits', 'isa', 'inhibits', 'occurs_in']
['inhibits', 'prevents', 'stimulates', 'occurs_in']
['inhibits', 'coexists_with', 'inhibits', 'inhibits']
['inhibits', 'associated_with', 'treats', 'affects']
['inhibits', 'causes', 'part_of', 'part_of']
['inhibits', 'affects', 'same_as', 'complicates']
['inhibits', 'augments', 'part_of', 'location_of']
['inhibits', 'complicates', 'causes', 'causes']
['inhibits', 'occurs_in', 'treats', 'associated_with']
['inhibits', 'location_of', 'prevents', 'complicates']
['inhibits', 'isa', 'inhibits', 'part_of']
['inhibits', 'location_of', 'disrupts', 'augments']
['inhibits', 'prevents', 'stimulates', 'part_of']
['inhibits', 'produces', 'inhibits', 'associated_with']
['inhibits', 'part_of', 'inhibits', 'causes']
['inhibits', 'occurs_in', 'causes', 'compared_with']
['inhibits', 'location_of', 'associated_with', 'occurs_in']
['inhibits', 'inhibits', 'complicates', 'causes']
['inhibits', 'same_as', 'produces', 'part_of']
['inhibits', 'diagnoses', 'same_as', 'compared_with']
['inhibits', 'associated_with', 'affects', 'inhibits']
['inhibits', 'produces', 'stimulates', 'augments']
['inhibits', 'same_as', 'isa', 'occurs_in']
['inhibits', 'part_of', 'occurs_in', 'treats']
['inhibits', 'treats', 'coexists_with', 'augments']
['inhibits', 'causes', 'occurs_in', 'isa']
['inhibits', 'coexists_with', 'inhibits', 'disrupts']
['inhibits', 'causes', 'location_of', 'stimulates']
['inhibits', 'produces', 'coexists_with', 'prevents']
['inhibits', 'produces', 'stimulates', 'diagnoses']
['inhibits', 'occurs_in', 'inhibits', 'inhibits']
['inhibits', 'prevents', 'stimulates', 'affects']
['inhibits', 'occurs_in', 'occurs_in', 'diagnoses']
['inhibits', 'treats', 'associated_with', 'coexists_with']
['inhibits', 'location_of', 'stimulates', 'affects']
['inhibits', 'causes', 'same_as', 'stimulates']
['causes', 'part_of', 'diagnoses', 'inhibits']
['causes', 'isa', 'isa', 'associated_with']
['causes', 'augments', 'stimulates', 'interacts_with']
['causes', 'part_of', 'prevents', 'compared_with']
['causes', 'location_of']
['causes', 'interacts_with', 'disrupts', 'compared_with']
['causes', 'affects', 'isa', 'affects']
['causes', 'produces', 'inhibits', 'treats']
['causes', 'prevents', 'affects', 'interacts_with']
['causes', 'stimulates', 'stimulates', 'produces']
['causes', 'stimulates', 'prevents', 'same_as']
['causes', 'causes', 'inhibits', 'isa']
['causes', 'stimulates', 'diagnoses', 'location_of']
['causes', 'coexists_with', 'isa', 'causes']
['causes', 'interacts_with', 'augments', 'augments']
['causes', 'stimulates', 'causes', 'treats']
['causes', 'stimulates', 'occurs_in', 'causes']
['causes', 'isa', 'isa', 'inhibits']
['causes', 'part_of', 'same_as', 'inhibits']
['causes', 'prevents', 'occurs_in']
['causes', 'causes', 'associated_with', 'location_of']
['causes', 'produces', 'affects', 'stimulates']
['causes', 'isa', 'diagnoses', 'affects']
['causes', 'associated_with', 'prevents', 'compared_with']
['causes', 'same_as', 'affects', 'prevents']
['causes', 'stimulates', 'isa', 'associated_with']
['causes', 'compared_with', 'part_of', 'occurs_in']
['causes', 'location_of', 'location_of', 'affects']
['causes', 'stimulates', 'treats', 'disrupts']
['causes', 'occurs_in', 'produces', 'isa']
['causes', 'disrupts', 'disrupts', 'treats']
['causes', 'same_as', 'inhibits', 'affects']
['causes', 'stimulates', 'compared_with', 'stimulates']
['causes', 'stimulates', 'occurs_in', 'prevents']
['causes', 'treats', 'occurs_in', 'affects']
['causes', 'produces', 'causes', 'causes']
['causes', 'causes', 'same_as', 'causes']
['causes', 'associated_with', 'augments', 'complicates']
['causes', 'isa', 'location_of', 'coexists_with']
['causes', 'compared_with', 'coexists_with', 'associated_with']
['causes', 'disrupts', 'diagnoses', 'causes']
['causes', 'associated_with', 'interacts_with', 'isa']
['causes', 'diagnoses', 'associated_with', 'affects']
['causes', 'inhibits', 'causes', 'complicates']
['causes', 'causes', 'disrupts', 'same_as']
['causes', 'complicates', 'causes', 'treats']
['causes', 'stimulates', 'interacts_with', 'inhibits']
['causes', 'location_of', 'diagnoses', 'disrupts']
['causes']
['causes', 'affects', 'stimulates', 'inhibits']
['causes', 'treats', 'location_of', 'associated_with']
['causes', 'coexists_with', 'causes', 'part_of']
['causes', 'causes', 'part_of', 'same_as']
['causes', 'causes']
['causes', 'produces', 'same_as', 'coexists_with']
['causes', 'complicates', 'disrupts', 'compared_with']
['causes', 'prevents', 'coexists_with', 'same_as']
['causes', 'location_of', 'isa', 'interacts_with']
['causes', 'augments', 'isa', 'diagnoses']
['causes', 'diagnoses', 'coexists_with', 'produces']
['causes', 'causes', 'diagnoses', 'location_of']
['causes', 'affects', 'isa', 'inhibits']
['causes', 'location_of', 'diagnoses']
['causes', 'part_of', 'inhibits', 'location_of']
['causes', 'isa', 'inhibits']
['causes', 'causes', 'associated_with', 'occurs_in']
['causes', 'same_as', 'part_of', 'stimulates']
['causes', 'produces', 'isa', 'stimulates']
['causes', 'disrupts', 'coexists_with', 'treats']
['causes', 'isa', 'stimulates', 'compared_with']
['causes', 'interacts_with', 'affects', 'disrupts']
['causes', 'compared_with', 'stimulates', 'interacts_with']
['causes', 'part_of', 'treats', 'isa']
['causes', 'part_of', 'complicates', 'isa']
['causes', 'treats', 'prevents', 'diagnoses']
['causes', 'treats', 'compared_with', 'occurs_in']
['causes', 'isa', 'inhibits', 'isa']
['causes', 'coexists_with', 'produces', 'augments']
['causes', 'compared_with', 'diagnoses', 'stimulates']
['causes', 'stimulates', 'causes', 'inhibits']
['causes', 'location_of', 'produces', 'associated_with']
['causes', 'complicates']
['causes', 'stimulates', 'same_as', 'occurs_in']
['causes', 'location_of', 'treats', 'same_as']
['causes', 'treats', 'causes', 'diagnoses']
['causes', 'treats', 'stimulates', 'location_of']
['causes', 'complicates', 'prevents', 'same_as']
['causes', 'inhibits', 'disrupts', 'location_of']
['causes', 'augments', 'prevents', 'occurs_in']
['causes', 'prevents', 'diagnoses', 'location_of']
['causes', 'treats', 'treats', 'same_as']
['causes', 'part_of', 'stimulates', 'compared_with']
['causes', 'augments', 'prevents', 'augments']
['causes', 'diagnoses', 'compared_with', 'interacts_with']
['causes', 'prevents', 'occurs_in', 'compared_with']
['causes', 'stimulates', 'compared_with', 'produces']
['causes', 'disrupts', 'interacts_with', 'treats']
['causes', 'stimulates', 'inhibits', 'causes']
['stimulates', 'same_as', 'part_of', 'disrupts']
['stimulates', 'produces', 'same_as', 'inhibits']
['stimulates', 'isa', 'part_of', 'compared_with']
['stimulates', 'associated_with', 'location_of', 'part_of']
['stimulates', 'part_of', 'associated_with', 'stimulates']
['stimulates', 'same_as', 'coexists_with', 'prevents']
['stimulates', 'isa', 'complicates', 'diagnoses']
['stimulates', 'associated_with', 'part_of', 'coexists_with']
['stimulates', 'treats', 'inhibits', 'treats']
['stimulates', 'occurs_in', 'causes', 'part_of']
['stimulates', 'interacts_with', 'compared_with', 'location_of']
['stimulates', 'augments', 'compared_with', 'inhibits']
['stimulates', 'diagnoses', 'location_of', 'prevents']
['stimulates', 'stimulates', 'inhibits', 'location_of']
['stimulates', 'interacts_with', 'part_of']
['stimulates', 'prevents', 'location_of', 'affects']
['stimulates', 'diagnoses', 'compared_with', 'stimulates']
['stimulates', 'inhibits', 'occurs_in', 'inhibits']
['stimulates', 'isa', 'isa', 'disrupts']
['stimulates', 'location_of', 'interacts_with', 'location_of']
['stimulates', 'interacts_with', 'coexists_with', 'stimulates']
['stimulates', 'part_of', 'treats', 'augments']
['stimulates', 'inhibits', 'occurs_in']
['stimulates', 'prevents', 'interacts_with', 'occurs_in']
['stimulates', 'coexists_with', 'associated_with', 'same_as']
['stimulates', 'coexists_with', 'same_as', 'complicates']
['stimulates', 'disrupts', 'produces', 'produces']
['stimulates', 'complicates', 'location_of', 'location_of']
['stimulates', 'part_of', 'interacts_with', 'inhibits']
['stimulates', 'occurs_in', 'disrupts', 'same_as']
['stimulates', 'occurs_in', 'affects', 'associated_with']
['stimulates', 'affects', 'stimulates', 'complicates']
['stimulates', 'compared_with', 'complicates', 'associated_with']
['stimulates', 'part_of', 'augments', 'produces']
['stimulates', 'augments', 'disrupts', 'complicates']
['stimulates', 'associated_with', 'location_of']
['stimulates', 'isa', 'inhibits', 'coexists_with']
['stimulates', 'stimulates', 'complicates', 'causes']
['stimulates', 'affects', 'part_of', 'affects']
['stimulates', 'occurs_in', 'produces', 'same_as']
['stimulates', 'complicates', 'complicates', 'causes']
['stimulates', 'same_as', 'complicates', 'interacts_with']
['stimulates', 'diagnoses', 'complicates']
['stimulates', 'prevents', 'same_as', 'compared_with']
['stimulates', 'compared_with', 'occurs_in', 'diagnoses']
['stimulates']
['stimulates', 'same_as', 'same_as', 'augments']
['stimulates', 'interacts_with', 'disrupts', 'diagnoses']
['stimulates', 'produces', 'inhibits', 'interacts_with']
['stimulates', 'compared_with', 'causes', 'causes']
['stimulates', 'augments', 'augments', 'compared_with']
['stimulates', 'affects', 'diagnoses', 'complicates']
['stimulates', 'coexists_with', 'isa', 'associated_with']
['stimulates', 'associated_with', 'augments', 'occurs_in']
['stimulates', 'treats', 'associated_with', 'occurs_in']
['stimulates', 'location_of', 'part_of', 'compared_with']
['stimulates', 'occurs_in', 'stimulates', 'occurs_in']
['stimulates', 'same_as', 'interacts_with', 'interacts_with']
['stimulates', 'isa', 'part_of', 'disrupts']
['stimulates', 'part_of']
['stimulates', 'compared_with', 'causes', 'produces']
['stimulates', 'compared_with', 'disrupts', 'associated_with']
['stimulates', 'affects', 'occurs_in', 'isa']
['stimulates', 'diagnoses', 'augments', 'produces']
['stimulates', 'augments', 'coexists_with', 'associated_with']
['stimulates', 'compared_with', 'produces', 'produces']
