['diagnoses', 'inhibits', 'associated_with', 'complicates']
['disrupts', 'treats', 'interacts_with', 'part_of']
['disrupts', 'same_as', 'augments', 'coexists_with']
['disrupts', 'augments', 'part_of']
['disrupts']
['disrupts', 'location_of', 'prevents', 'stimulates']
['disrupts', 'compared_with', 'prevents', 'produces']
['disrupts', 'complicates']
['disrupts', 'disrupts', 'disrupts', 'augments']
['disrupts', 'affects', 'occurs_in', 'interacts_with']
['disrupts', 'treats', 'compared_with', 'inhibits']
['disrupts', 'interacts_with', 'diagnoses', 'stimulates']
['disrupts', 'interacts_with', 'causes']
['disrupts', 'isa', 'occurs_in', 'inhibits']
['disrupts', 'produces', 'same_as', 'diagnoses']
['disrupts', 'disrupts', 'prevents', 'associated_with']
['disrupts', 'part_of', 'prevents', 'associated_with']
['disrupts', 'prevents', 'occurs_in', 'augments']
['disrupts', 'isa', 'interacts_with', 'stimulates']
['disrupts', 'interacts_with', 'interacts_with', 'occurs_in']
['disrupts', 'stimulates', 'same_as', 'causes']
['disrupts', 'inhibits', 'same_as', 'causes']
['disrupts', 'treats', 'isa', 'complicates']
['disrupts', 'isa', 'affects', 'isa']
['disrupts', 'treats', 'inhibits', 'produces']
['disrupts', 'associated_with', 'complicates', 'treats']
['disrupts', 'inhibits', 'stimulates', 'associated_with']
['disrupts', 'inhibits', 'disrupts', 'coexists_with']
['disrupts', 'part_of', 'location_of', 'prevents']
['disrupts', 'causes', 'occurs_in', 'occurs_in']
['disrupts', 'associated_with', 'stimulates', 'coexists_with']
['disrupts', 'produces', 'produces', 'coexists_with']
['produces', 'compared_with', 'isa', 'location_of']
['produces', 'interacts_with', 'causes', 'interacts_with']
['produces', 'causes', 'associated_with', 'disrupts']
['produces', 'interacts_with', 'affects', 'associated_with']
['produces', 'coexists_with', 'location_of', 'produces']
['produces', 'location_of', 'part_of', 'interacts_with']
['produces', 'treats', 'associated_with', 'causes']
['produces', 'diagnoses', 'complicates', 'associated_with']
['produces', 'interacts_with', 'compared_with', 'compared_with']
['produces', 'same_as', 'isa', 'prevents']
['produces', 'treats', 'same_as', 'diagnoses']
['produces', 'prevents', 'coexists_with', 'compared_with']
['produces', 'coexists_with', 'associated_with', 'interacts_with']
['produces', 'disrupts', 'disrupts', 'associated_with']
['produces', 'coexists_with', 'location_of', 'associated_with']
['produces', 'compared_with', 'associated_with', 'compared_with']
['produces', 'associated_with', 'isa', 'inhibits']
['produces', 'same_as', 'interacts_with', 'coexists_with']
['produces', 'isa', 'disrupts', 'stimulates']
['produces', 'causes', 'produces', 'location_of']
['produces', 'occurs_in', 'coexists_with', 'same_as']
['produces', 'stimulates', 'location_of', 'compared_with']
['produces', 'diagnoses', 'complicates', 'compared_with']
['produces', 'associated_with', 'occurs_in', 'coexists_with']
['produces', 'associated_with', 'disrupts', 'isa']
['produces', 'part_of', 'inhibits', 'location_of']
['produces', 'produces', 'isa', 'treats']
['produces', 'inhibits', 'occurs_in', 'treats']
['produces', 'compared_with', 'augments', 'same_as']
['produces', 'inhibits']
['produces', 'disrupts', 'stimulates', 'causes']
['produces', 'diagnoses', 'treats', 'diagnoses']
['produces', 'compared_with', 'prevents', 'isa']
['produces', 'stimulates']
['produces', 'produces', 'same_as', 'complicates']
['produces', 'stimulates', 'produces', 'augments']
['produces', 'occurs_in', 'produces', 'prevents']
['produces', 'same_as', 'location_of', 'causes']
['produces', 'interacts_with', 'associated_with', 'produces']
['produces', 'causes', 'occurs_in', 'coexists_with']
['produces', 'associated_with', 'same_as', 'complicates']
['produces', 'diagnoses', 'interacts_with', 'occurs_in']
['produces', 'disrupts', 'complicates', 'diagnoses']
['produces', 'part_of', 'produces', 'affects']
['produces', 'augments', 'compared_with', 'inhibits']
['produces', 'causes']
['produces', 'interacts_with', 'same_as', 'augments']
['produces', 'disrupts', 'causes', 'produces']
['produces', 'affects']
['produces', 'coexists_with', 'location_of', 'coexists_with']
['produces', 'associated_with', 'causes', 'prevents']
['produces', 'disrupts', 'isa', 'part_of']
['produces', 'prevents', 'diagnoses', 'produces']
['produces', 'inhibits', 'complicates', 'complicates']
['produces', 'coexists_with', 'isa', 'affects']
['produces', 'associated_with', 'location_of', 'associated_with']
['produces', 'produces', 'compared_with', 'diagnoses']
['produces', 'augments', 'causes', 'coexists_with']
['produces', 'occurs_in', 'interacts_with', 'isa']
['produces', 'produces', 'diagnoses', 'coexists_with']
['produces', 'prevents', 'complicates', 'diagnoses']
['produces', 'treats', 'associated_with', 'prevents']
['produces', 'stimulates', 'inhibits', 'interacts_with']
['produces', 'augments', 'produces', 'prevents']
['produces', 'diagnoses', 'isa', 'associated_with']
['produces', 'augments', 'prevents']
['produces', 'causes', 'part_of', 'complicates']
['produces', 'isa', 'same_as', 'treats']
['produces', 'inhibits', 'diagnoses', 'complicates']
['produces', 'coexists_with', 'interacts_with', 'produces']
['produces', 'prevents', 'causes', 'interacts_with']
['produces', 'treats', 'causes', 'coexists_with']
['produces', 'causes', 'inhibits', 'isa']
['produces', 'complicates', 'compared_with', 'diagnoses']
['produces', 'occurs_in', 'part_of', 'compared_with']
['produces', 'treats', 'disrupts', 'location_of']
['produces', 'part_of', 'part_of', 'coexists_with']
['produces', 'compared_with', 'produces', 'location_of']
['produces', 'same_as', 'isa', 'occurs_in']
['produces', 'disrupts']
['produces', 'treats', 'prevents', 'causes']
['produces', 'diagnoses', 'inhibits', 'causes']
['produces', 'isa', 'location_of', 'diagnoses']
['produces', 'prevents', 'interacts_with', 'isa']
['produces', 'stimulates', 'isa', 'disrupts']
['produces', 'interacts_with', 'isa', 'associated_with']
['produces', 'location_of', 'produces', 'associated_with']
['produces', 'produces', 'coexists_with', 'produces']
['produces', 'compared_with', 'produces', 'stimulates']
['produces', 'produces', 'stimulates']
['produces', 'occurs_in', 'causes', 'diagnoses']
['produces', 'interacts_with', 'compared_with', 'coexists_with']
['produces']
['produces', 'associated_with', 'prevents', 'diagnoses']
['produces', 'prevents', 'location_of', 'complicates']
['produces', 'disrupts', 'coexists_with', 'part_of']
['produces', 'location_of', 'diagnoses', 'same_as']
['produces', 'location_of', 'location_of', 'occurs_in']
['produces', 'coexists_with', 'location_of', 'stimulates']
['compared_with', 'causes', 'interacts_with', 'isa']
['compared_with', 'stimulates']
['compared_with', 'coexists_with', 'occurs_in', 'location_of']
['compared_with', 'treats', 'inhibits', 'part_of']
['compared_with', 'coexists_with', 'inhibits', 'prevents']
['compared_with', 'isa', 'stimulates', 'coexists_with']
['compared_with', 'same_as', 'affects', 'interacts_with']
['compared_with', 'isa', 'disrupts', 'part_of']
['compared_with', 'isa', 'isa', 'diagnoses']
['compared_with', 'part_of', 'affects', 'diagnoses']
['compared_with', 'part_of', 'stimulates', 'disrupts']
['compared_with', 'location_of', 'coexists_with', 'disrupts']
['compared_with', 'compared_with', 'same_as', 'location_of']
['compared_with', 'interacts_with', 'complicates', 'disrupts']
['compared_with', 'coexists_with', 'prevents', 'diagnoses']
['compared_with', 'part_of', 'prevents', 'affects']
['compared_with', 'associated_with']
['compared_with', 'augments', 'prevents', 'treats']
['compared_with', 'location_of', 'location_of', 'causes']
['compared_with', 'interacts_with', 'compared_with', 'interacts_with']
['compared_with', 'inhibits', 'prevents', 'treats']
['compared_with', 'isa', 'coexists_with', 'stimulates']
['compared_with', 'augments', 'location_of', 'compared_with']
['compared_with', 'occurs_in', 'augments', 'augments']
['compared_with', 'affects', 'produces', 'coexists_with']
['compared_with', 'part_of']
['compared_with', 'diagnoses', 'associated_with', 'location_of']
['compared_with', 'affects', 'same_as', 'augments']
['compared_with', 'causes', 'coexists_with', 'part_of']
['compared_with', 'part_of', 'augments']
['compared_with', 'inhibits', 'occurs_in', 'prevents']
['compared_with', 'inhibits']
['compared_with', 'complicates', 'augments', 'stimulates']
['compared_with', 'produces', 'occurs_in', 'part_of']
['compared_with', 'diagnoses', 'interacts_with', 'treats']
['compared_with', 'diagnoses', 'part_of', 'treats']
['compared_with', 'stimulates', 'inhibits', 'isa']
['compared_with', 'complicates', 'occurs_in', 'complicates']
['compared_with', 'same_as', 'same_as', 'affects']
['compared_with', 'inhibits', 'causes', 'complicates']
['compared_with', 'stimulates', 'associated_with', 'coexists_with']
['compared_with', 'prevents', 'inhibits', 'affects']
['compared_with']
['compared_with', 'location_of', 'interacts_with', 'prevents']
['compared_with', 'interacts_with', 'inhibits', 'treats']
['compared_with', 'interacts_with', 'inhibits', 'stimulates']
['compared_with', 'disrupts', 'location_of', 'produces']
['compared_with', 'affects', 'associated_with']
['compared_with', 'produces', 'isa', 'associated_with']
['compared_with', 'inhibits', 'complicates', 'compared_with']
['compared_with', 'complicates', 'associated_with', 'disrupts']
['compared_with', 'augments', 'same_as']
['compared_with', 'part_of', 'interacts_with', 'part_of']
['compared_with', 'causes', 'location_of', 'complicates']
['compared_with', 'diagnoses', 'prevents', 'prevents']
['compared_with', 'causes', 'inhibits', 'produces']
['compared_with', 'coexists_with', 'part_of', 'complicates']
['compared_with', 'location_of', 'produces', 'inhibits']
['compared_with', 'occurs_in', 'prevents', 'coexists_with']
['compared_with', 'coexists_with', 'isa', 'location_of']
['compared_with', 'treats', 'affects', 'location_of']
['compared_with', 'inhibits', 'diagnoses', 'affects']
['compared_with', 'associated_with', 'occurs_in', 'interacts_with']
['compared_with', 'treats', 'augments', 'affects']
['compared_with', 'diagnoses', 'coexists_with', 'treats']
['compared_with', 'affects', 'inhibits', 'causes']
['compared_with', 'treats', 'augments', 'same_as']
['compared_with', 'diagnoses', 'coexists_with', 'complicates']
['compared_with', 'coexists_with', 'associated_with', 'affects']
['compared_with', 'associated_with', 'causes', 'produces']
['compared_with', 'treats', 'prevents', 'part_of']
['compared_with', 'causes', 'part_of', 'isa']
['compared_with', 'location_of', 'complicates', 'treats']
['compared_with', 'compared_with', 'affects', 'affects']
['compared_with', 'associated_with', 'augments', 'interacts_with']
['compared_with', 'causes', 'disrupts', 'interacts_with']
['compared_with', 'same_as', 'stimulates', 'diagnoses']
['compared_with', 'occurs_in', 'occurs_in', 'isa']
['compared_with', 'disrupts', 'part_of', 'interacts_with']
['compared_with', 'isa', 'inhibits', 'diagnoses']
['compared_with', 'interacts_with', 'isa', 'location_of']
['compared_with', 'inhibits', 'location_of', 'diagnoses']
['compared_with', 'causes', 'part_of', 'affects']
['compared_with', 'augments', 'causes', 'associated_with']
['compared_with', 'compared_with', 'complicates', 'associated_with']
['compared_with', 'augments', 'augments', 'isa']
['compared_with', 'occurs_in', 'disrupts', 'affects']
['compared_with', 'prevents', 'complicates', 'part_of']
['compared_with', 'same_as', 'isa', 'stimulates']
['compared_with', 'stimulates', 'compared_with']
['compared_with', 'complicates', 'isa', 'produces']
['compared_with', 'coexists_with']
['compared_with', 'causes', 'complicates', 'treats']
['compared_with', 'prevents', 'occurs_in', 'treats']
['compared_with', 'same_as', 'part_of', 'location_of']
['compared_with', 'coexists_with', 'produces', 'coexists_with']
['augments', 'part_of', 'treats', 'diagnoses']
['augments', 'inhibits', 'stimulates', 'part_of']
['augments', 'stimulates', 'location_of', 'same_as']
['augments', 'compared_with', 'causes', 'treats']
['augments', 'prevents', 'associated_with', 'affects']
['augments', 'prevents', 'produces', 'prevents']
['augments', 'augments', 'associated_with', 'disrupts']
['augments', 'affects']
['augments', 'disrupts', 'affects', 'stimulates']
['augments', 'treats', 'same_as', 'same_as']
['augments', 'causes', 'part_of', 'same_as']
['augments', 'augments', 'occurs_in', 'location_of']
['augments', 'same_as', 'treats', 'coexists_with']
['augments', 'location_of', 'prevents', 'diagnoses']
['augments', 'prevents', 'stimulates', 'treats']
['augments', 'interacts_with', 'interacts_with', 'disrupts']
['augments', 'produces', 'same_as', 'stimulates']
['augments', 'compared_with', 'occurs_in', 'inhibits']
['augments', 'occurs_in', 'isa', 'complicates']
['augments', 'produces', 'produces', 'isa']
['augments', 'interacts_with', 'causes', 'location_of']
['augments', 'interacts_with']
['augments', 'same_as', 'interacts_with', 'complicates']
['augments', 'isa', 'location_of', 'complicates']
['augments', 'part_of', 'prevents', 'interacts_with']
['augments', 'diagnoses', 'coexists_with', 'augments']
['augments', 'augments', 'affects', 'produces']
['augments', 'interacts_with', 'complicates', 'isa']
['augments', 'stimulates', 'affects', 'augments']
['augments', 'complicates', 'augments', 'causes']
['augments', 'compared_with', 'inhibits', 'treats']
['augments', 'occurs_in', 'part_of', 'affects']
['augments', 'associated_with', 'causes', 'compared_with']
['augments', 'treats', 'location_of', 'causes']
['augments', 'disrupts', 'diagnoses', 'interacts_with']
['augments', 'disrupts', 'treats', 'interacts_with']
['augments', 'occurs_in', 'coexists_with']
['augments', 'causes', 'occurs_in', 'inhibits']
['augments', 'same_as', 'prevents', 'associated_with']
['augments', 'occurs_in', 'isa', 'interacts_with']
['augments', 'complicates', 'occurs_in', 'same_as']
['augments', 'diagnoses', 'diagnoses', 'disrupts']
['augments', 'treats', 'treats', 'produces']
['augments', 'same_as', 'interacts_with', 'coexists_with']
['augments', 'disrupts', 'stimulates', 'augments']
['augments', 'location_of', 'stimulates', 'complicates']
['augments', 'location_of']
['augments', 'augments', 'isa', 'same_as']
['augments', 'stimulates', 'part_of', 'part_of']
['augments', 'associated_with', 'prevents', 'affects']
['augments', 'affects', 'complicates', 'compared_with']
['augments', 'isa', 'location_of', 'part_of']
['augments', 'associated_with', 'inhibits', 'isa']
['augments', 'produces', 'part_of', 'diagnoses']
['augments', 'affects', 'complicates', 'produces']
['augments', 'compared_with', 'produces', 'compared_with']
['augments', 'interacts_with', 'prevents', 'associated_with']
['augments']
['augments', 'associated_with', 'disrupts', 'location_of']
['augments', 'produces', 'augments', 'same_as']
['augments', 'location_of', 'occurs_in', 'diagnoses']
['augments', 'prevents', 'coexists_with', 'disrupts']
['augments', 'part_of', 'inhibits', 'occurs_in']
['augments', 'augments', 'augments', 'prevents']
['augments', 'produces', 'associated_with', 'disrupts']
['augments', 'compared_with', 'same_as', 'same_as']
['augments', 'diagnoses', 'isa', 'prevents']
['augments', 'stimulates', 'complicates', 'treats']
['augments', 'occurs_in', 'same_as', 'produces']
['augments', 'causes', 'part_of']
['augments', 'causes', 'complicates', 'occurs_in']
['augments', 'same_as', 'diagnoses', 'complicates']
['augments', 'disrupts', 'augments', 'isa']
['augments', 'interacts_with', 'occurs_in', 'compared_with']
['augments', 'occurs_in', 'stimulates', 'diagnoses']
['augments', 'same_as', 'affects', 'affects']
['augments', 'associated_with', 'complicates', 'complicates']
['augments', 'interacts_with', 'part_of', 'occurs_in']
['augments', 'prevents', 'location_of', 'augments']
['augments', 'isa', 'part_of', 'occurs_in']
['augments', 'treats', 'associated_with', 'part_of']
['augments', 'causes', 'occurs_in', 'coexists_with']
['augments', 'diagnoses', 'causes', 'stimulates']
['augments', 'compared_with', 'same_as', 'complicates']
['augments', 'produces', 'augments', 'stimulates']
['augments', 'coexists_with', 'diagnoses', 'affects']
['augments', 'produces', 'prevents', 'interacts_with']
['augments', 'complicates', 'prevents', 'same_as']
['augments', 'produces', 'same_as', 'same_as']
['augments', 'associated_with', 'affects', 'isa']
['augments', 'treats', 'part_of', 'affects']
['augments', 'part_of', 'complicates', 'diagnoses']
['augments', 'treats', 'coexists_with', 'augments']
['augments', 'augments']
['augments', 'causes', 'diagnoses', 'complicates']
['inhibits', 'disrupts', 'isa', 'location_of']
['inhibits', 'same_as', 'part_of', 'affects']
['inhibits', 'diagnoses', 'diagnoses', 'complicates']
['inhibits', 'prevents', 'treats', 'disrupts']
['inhibits']
['inhibits', 'complicates', 'compared_with', 'affects']
['inhibits', 'complicates', 'affects', 'location_of']
['inhibits', 'isa', 'stimulates', 'isa']
['inhibits', 'stimulates', 'diagnoses', 'stimulates']
['inhibits', 'prevents', 'diagnoses', 'stimulates']
['inhibits', 'location_of', 'stimulates', 'compared_with']
['inhibits', 'affects']
['inhibits', 'same_as', 'same_as', 'occurs_in']
['inhibits', 'associated_with', 'produces', 'isa']
['inhibits', 'coexists_with', 'stimulates', 'produces']
['inhibits', 'treats', 'part_of', 'affects']
['inhibits', 'location_of', 'causes', 'diagnoses']
['inhibits', 'inhibits', 'prevents', 'occurs_in']
['inhibits', 'diagnoses', 'augments', 'disrupts']
['inhibits', 'location_of', 'complicates', 'coexists_with']
['inhibits', 'same_as', 'complicates', 'compared_with']
['inhibits', 'location_of', 'stimulates', 'produces']
['inhibits', 'compared_with', 'same_as', 'stimulates']
['inhibits', 'inhibits', 'augments', 'compared_with']
['inhibits', 'causes', 'inhibits', 'diagnoses']
['inhibits', 'disrupts', 'compared_with', 'disrupts']
['inhibits', 'affects', 'produces', 'associated_with']
['inhibits', 'coexists_with', 'interacts_with', 'treats']
['inhibits', 'occurs_in', 'compared_with', 'augments']
['inhibits', 'affects', 'inhibits', 'occurs_in']
['inhibits', 'affects', 'part_of', 'disrupts']
['inhibits', 'coexists_with', 'coexists_with', 'location_of']
['inhibits', 'compared_with', 'isa', 'location_of']
['inhibits', 'complicates', 'interacts_with', 'isa']
['inhibits', 'interacts_with', 'disrupts', 'complicates']
['inhibits', 'augments', 'prevents', 'inhibits']
['inhibits', 'same_as', 'diagnoses', 'same_as']
['inhibits', 'associated_with', 'disrupts', 'same_as']
['inhibits', 'stimulates', 'compared_with', 'isa']
['inhibits', 'interacts_with', 'interacts_with', 'diagnoses']
['inhibits', 'associated_with', 'augments', 'augments']
['inhibits', 'disrupts', 'diagnoses', 'produces']
['inhibits', 'affects', 'treats', 'causes']
['inhibits', 'interacts_with', 'compared_with', 'isa']
['inhibits', 'coexists_with']
['inhibits', 'produces', 'inhibits', 'location_of']
['inhibits', 'isa', 'complicates', 'prevents']
['inhibits', 'same_as', 'associated_with', 'produces']
['inhibits', 'occurs_in', 'disrupts', 'disrupts']
['inhibits', 'treats', 'part_of', 'disrupts']
['inhibits', 'augments', 'associated_with', 'stimulates']
['inhibits', 'isa', 'affects', 'compared_with']
['inhibits', 'complicates', 'causes', 'disrupts']
['inhibits', 'complicates', 'stimulates', 'occurs_in']
['inhibits', 'complicates', 'interacts_with', 'interacts_with']
['inhibits', 'coexists_with', 'occurs_in', 'inhibits']
['inhibits', 'coexists_with', 'disrupts', 'stimulates']
['inhibits', 'disrupts', 'treats', 'same_as']
['inhibits', 'diagnoses', 'compared_with', 'associated_with']
['inhibits', 'treats', 'compared_with', 'associated_with']
['inhibits', 'affects', 'treats', 'treats']
['inhibits', 'interacts_with', 'location_of', 'diagnoses']
['inhibits', 'produces', 'prevents', 'produces']
['inhibits', 'location_of', 'prevents', 'interacts_with']
['inhibits', 'complicates', 'affects', 'interacts_with']
['inhibits', 'diagnoses', 'prevents', 'part_of']
['inhibits', 'occurs_in']
['inhibits', 'compared_with', 'occurs_in', 'associated_with']
['inhibits', 'interacts_with', 'produces', 'occurs_in']
['inhibits', 'treats', 'occurs_in', 'part_of']
['inhibits', 'disrupts', 'complicates', 'causes']
['inhibits', 'complicates', 'stimulates', 'complicates']
['inhibits', 'interacts_with', 'interacts_with', 'isa']
['inhibits', 'complicates', 'associated_with', 'causes']
['inhibits', 'location_of', 'treats', 'compared_with']
['inhibits', 'location_of', 'compared_with', 'diagnoses']
['inhibits', 'associated_with', 'diagnoses', 'produces']
['inhibits', 'associated_with', 'associated_with', 'disrupts']
['inhibits', 'treats', 'complicates', 'affects']
['inhibits', 'prevents', 'part_of', 'interacts_with']
['inhibits', 'same_as', 'location_of', 'part_of']
['inhibits', 'isa', 'produces', 'coexists_with']
['inhibits', 'part_of', 'associated_with', 'part_of']
['inhibits', 'isa', 'location_of', 'same_as']
['inhibits', 'diagnoses', 'treats', 'treats']
['inhibits', 'treats', 'compared_with', 'part_of']
['inhibits', 'part_of']
['inhibits', 'compared_with', 'location_of', 'prevents']
['inhibits', 'stimulates']
['inhibits', 'stimulates', 'disrupts', 'isa']
['inhibits', 'same_as', 'same_as', 'disrupts']
['inhibits', 'treats', 'part_of', 'compared_with']
['inhibits', 'inhibits', 'associated_with', 'same_as']
['inhibits', 'causes', 'inhibits', 'treats']
['inhibits', 'disrupts', 'treats', 'treats']
['inhibits', 'coexists_with', 'part_of', 'stimulates']
['causes', 'location_of', 'diagnoses', 'causes']
['causes', 'complicates', 'compared_with', 'compared_with']
['causes', 'part_of', 'isa', 'coexists_with']
['causes', 'isa', 'augments', 'coexists_with']
['causes', 'associated_with', 'diagnoses', 'occurs_in']
['causes', 'prevents', 'treats', 'associated_with']
['causes', 'compared_with', 'inhibits', 'interacts_with']
['causes', 'disrupts', 'interacts_with', 'complicates']
['causes', 'isa', 'augments', 'part_of']
['causes', 'occurs_in', 'prevents', 'complicates']
['causes', 'same_as', 'treats', 'same_as']
['causes', 'treats', 'complicates', 'same_as']
['causes', 'augments', 'augments', 'interacts_with']
['causes', 'diagnoses', 'causes', 'causes']
['causes', 'produces', 'complicates', 'disrupts']
['causes', 'diagnoses', 'same_as', 'treats']
['causes', 'stimulates', 'treats', 'treats']
['causes', 'same_as', 'prevents', 'associated_with']
['causes', 'stimulates', 'augments', 'treats']
['causes', 'occurs_in', 'inhibits', 'compared_with']
['causes', 'compared_with', 'inhibits', 'disrupts']
['causes', 'causes', 'prevents', 'stimulates']
['causes', 'occurs_in', 'location_of', 'prevents']
['causes', 'disrupts', 'prevents', 'part_of']
['causes', 'interacts_with', 'prevents', 'location_of']
['causes', 'causes', 'affects', 'augments']
['causes', 'affects', 'isa', 'produces']
['causes', 'occurs_in', 'prevents', 'causes']
['causes', 'disrupts', 'coexists_with', 'occurs_in']
['causes', 'prevents', 'same_as', 'same_as']
['causes', 'treats', 'diagnoses', 'associated_with']
['causes', 'location_of', 'isa', 'stimulates']
['causes', 'part_of', 'prevents', 'inhibits']
['causes', 'disrupts', 'disrupts', 'augments']
['causes', 'disrupts', 'coexists_with', 'part_of']
['causes', 'produces', 'augments', 'compared_with']
['causes', 'disrupts']
['causes', 'augments', 'diagnoses', 'complicates']
['causes', 'complicates', 'treats', 'produces']
['causes', 'causes', 'same_as', 'produces']
['causes', 'occurs_in', 'occurs_in', 'occurs_in']
['causes', 'augments', 'augments', 'complicates']
['causes', 'complicates', 'complicates', 'inhibits']
['causes', 'affects', 'treats', 'same_as']
['causes', 'location_of', 'inhibits', 'complicates']
['causes', 'same_as', 'part_of', 'prevents']
['causes', 'produces', 'augments', 'occurs_in']
['causes', 'causes', 'associated_with', 'causes']
['causes', 'part_of', 'augments', 'stimulates']
['causes', 'produces', 'location_of', 'stimulates']
['causes', 'part_of', 'coexists_with', 'coexists_with']
['causes', 'part_of', 'occurs_in', 'complicates']
['causes', 'complicates', 'stimulates', 'inhibits']
['causes', 'produces', 'part_of', 'prevents']
['causes', 'disrupts', 'associated_with', 'interacts_with']
['causes', 'augments', 'associated_with', 'augments']
['causes', 'inhibits', 'location_of', 'stimulates']
['causes', 'stimulates', 'occurs_in', 'treats']
['causes', 'location_of', 'treats']
['causes', 'disrupts', 'location_of', 'compared_with']
['causes', 'affects', 'associated_with', 'location_of']
['causes', 'compared_with', 'augments', 'part_of']
['causes', 'complicates', 'causes', 'same_as']
['causes', 'augments', 'interacts_with', 'prevents']
['causes', 'causes', 'augments', 'same_as']
['causes', 'produces', 'inhibits', 'coexists_with']
['causes', 'interacts_with']
['causes', 'causes', 'coexists_with', 'diagnoses']
['causes']
['causes', 'disrupts', 'coexists_with', 'associated_with']
['causes', 'associated_with', 'same_as', 'produces']
['causes', 'augments', 'causes', 'disrupts']
['causes', 'causes', 'stimulates', 'affects']
['causes', 'disrupts', 'compared_with', 'complicates']
['causes', 'coexists_with', 'treats', 'compared_with']
['causes', 'same_as', 'same_as', 'isa']
['causes', 'affects', 'associated_with', 'stimulates']
['causes', 'stimulates', 'occurs_in', 'produces']
['causes', 'prevents', 'interacts_with']
['causes', 'stimulates', 'location_of', 'part_of']
['causes', 'associated_with', 'treats', 'occurs_in']
['causes', 'produces', 'stimulates', 'stimulates']
['causes', 'associated_with', 'prevents', 'location_of']
['causes', 'coexists_with', 'inhibits', 'prevents']
['causes', 'isa', 'disrupts', 'same_as']
['causes', 'disrupts', 'interacts_with', 'disrupts']
['causes', 'part_of', 'location_of', 'complicates']
['causes', 'inhibits', 'complicates', 'causes']
['causes', 'location_of', 'isa', 'disrupts']
['causes', 'diagnoses', 'compared_with', 'interacts_with']
['causes', 'causes', 'inhibits', 'augments']
['causes', 'stimulates', 'same_as', 'disrupts']
['causes', 'treats', 'treats', 'prevents']
['stimulates', 'occurs_in', 'prevents', 'complicates']
['stimulates', 'inhibits', 'produces', 'compared_with']
['stimulates', 'causes', 'affects', 'prevents']
['stimulates', 'augments', 'produces', 'stimulates']
['stimulates', 'causes', 'same_as', 'complicates']
['stimulates', 'augments', 'coexists_with', 'affects']
['stimulates', 'coexists_with', 'coexists_with', 'location_of']
['stimulates', 'stimulates', 'augments', 'produces']
['stimulates', 'isa', 'occurs_in', 'disrupts']
['stimulates', 'isa', 'same_as', 'prevents']
['stimulates', 'stimulates', 'treats', 'augments']
['stimulates', 'compared_with', 'disrupts', 'causes']
['stimulates', 'diagnoses', 'inhibits', 'produces']
['stimulates', 'location_of', 'prevents', 'augments']
['stimulates', 'produces', 'inhibits', 'occurs_in']
['stimulates', 'treats']
['stimulates', 'part_of', 'complicates', 'coexists_with']
['stimulates', 'compared_with', 'augments', 'associated_with']
['stimulates', 'disrupts', 'treats', 'produces']
['stimulates', 'location_of', 'compared_with', 'interacts_with']
['stimulates', 'compared_with', 'stimulates', 'stimulates']
['stimulates', 'produces', 'disrupts', 'isa']
['stimulates', 'interacts_with', 'location_of', 'inhibits']
['stimulates', 'coexists_with', 'isa', 'coexists_with']
['stimulates', 'inhibits', 'location_of', 'complicates']
['stimulates', 'treats', 'prevents', 'inhibits']
['stimulates', 'stimulates', 'complicates', 'associated_with']
['stimulates', 'occurs_in', 'stimulates', 'produces']
['stimulates', 'coexists_with', 'occurs_in', 'associated_with']
['stimulates', 'prevents', 'coexists_with', 'stimulates']
['stimulates', 'diagnoses', 'compared_with', 'complicates']
['stimulates', 'prevents', 'associated_with', 'disrupts']
['stimulates', 'diagnoses', 'stimulates', 'stimulates']
['stimulates', 'same_as', 'associated_with', 'isa']
['stimulates', 'same_as', 'location_of', 'complicates']
['stimulates', 'stimulates', 'interacts_with', 'occurs_in']
['stimulates', 'complicates', 'occurs_in', 'inhibits']
['stimulates', 'prevents', 'disrupts', 'compared_with']
['stimulates', 'compared_with']
['stimulates', 'complicates', 'associated_with', 'inhibits']
['stimulates', 'disrupts', 'prevents', 'location_of']
['stimulates', 'causes', 'interacts_with', 'compared_with']
['stimulates', 'location_of', 'interacts_with', 'prevents']
['stimulates', 'disrupts', 'treats', 'prevents']
['stimulates', 'complicates', 'part_of', 'isa']
['stimulates', 'associated_with', 'part_of', 'prevents']
['stimulates', 'inhibits', 'occurs_in', 'stimulates']
['stimulates', 'compared_with', 'diagnoses', 'produces']
['stimulates', 'coexists_with', 'affects', 'produces']
['stimulates', 'augments', 'occurs_in']
['stimulates', 'isa', 'prevents', 'associated_with']
['stimulates', 'complicates', 'affects', 'occurs_in']
['stimulates', 'inhibits', 'affects', 'diagnoses']
['stimulates', 'stimulates', 'location_of', 'isa']
['stimulates', 'diagnoses', 'causes', 'coexists_with']
['stimulates', 'coexists_with', 'complicates', 'associated_with']
['stimulates', 'diagnoses', 'location_of', 'occurs_in']
['stimulates', 'part_of', 'complicates', 'complicates']
['stimulates', 'associated_with', 'affects', 'occurs_in']
['stimulates', 'treats', 'stimulates', 'associated_with']
['stimulates', 'associated_with', 'occurs_in', 'produces']
['stimulates', 'produces', 'occurs_in', 'diagnoses']
['stimulates', 'complicates', 'complicates', 'complicates']
['stimulates', 'occurs_in', 'occurs_in', 'associated_with']
['stimulates', 'affects', 'occurs_in', 'prevents']
['stimulates', 'location_of', 'disrupts', 'prevents']
