['diagnoses', 'location_of', 'causes', 'location_of']
['disrupts', 'isa', 'augments', 'diagnoses']
['disrupts', 'causes', 'produces', 'occurs_in']
['disrupts', 'treats', 'location_of', 'affects']
['disrupts', 'stimulates', 'disrupts']
['disrupts', 'causes', 'treats', 'augments']
['disrupts', 'augments', 'diagnoses', 'causes']
['disrupts', 'prevents', 'affects', 'part_of']
['disrupts', 'inhibits', 'same_as', 'affects']
['disrupts', 'diagnoses', 'part_of', 'location_of']
['disrupts', 'causes', 'affects', 'interacts_with']
['disrupts', 'associated_with', 'location_of', 'augments']
['disrupts', 'produces', 'treats', 'causes']
['disrupts', 'stimulates']
['disrupts', 'isa', 'associated_with', 'coexists_with']
['disrupts', 'location_of', 'produces', 'location_of']
['disrupts', 'associated_with', 'causes', 'interacts_with']
['disrupts', 'prevents', 'compared_with', 'diagnoses']
['disrupts', 'produces', 'coexists_with', 'stimulates']
['disrupts', 'associated_with', 'diagnoses', 'location_of']
['disrupts', 'causes', 'causes', 'augments']
['disrupts', 'prevents', 'complicates', 'coexists_with']
['disrupts', 'augments']
['disrupts', 'prevents', 'location_of', 'occurs_in']
['disrupts', 'affects', 'occurs_in', 'compared_with']
['disrupts', 'causes', 'isa', 'treats']
['disrupts', 'diagnoses', 'stimulates', 'part_of']
['disrupts', 'compared_with', 'complicates', 'isa']
['disrupts', 'causes', 'isa', 'isa']
['disrupts', 'complicates', 'coexists_with', 'augments']
['disrupts', 'location_of', 'prevents', 'treats']
['disrupts', 'interacts_with', 'interacts_with', 'produces']
['disrupts', 'occurs_in', 'diagnoses', 'treats']
['produces', 'interacts_with', 'causes', 'augments']
['produces', 'part_of', 'stimulates', 'isa']
['produces', 'causes', 'augments', 'coexists_with']
['produces', 'disrupts', 'causes', 'compared_with']
['produces', 'augments']
['produces', 'location_of', 'location_of', 'same_as']
['produces', 'produces', 'interacts_with', 'causes']
['produces', 'prevents', 'part_of', 'same_as']
['produces', 'stimulates', 'interacts_with', 'complicates']
['produces', 'disrupts', 'isa', 'causes']
['produces', 'interacts_with', 'produces', 'part_of']
['produces', 'augments', 'augments', 'produces']
['produces', 'causes', 'causes', 'stimulates']
['produces', 'affects', 'causes', 'inhibits']
['produces', 'prevents', 'causes', 'isa']
['produces', 'complicates', 'complicates', 'prevents']
['produces', 'diagnoses', 'complicates', 'prevents']
['produces', 'coexists_with', 'complicates', 'part_of']
['produces', 'inhibits', 'isa', 'part_of']
['produces', 'causes', 'inhibits', 'disrupts']
['produces', 'treats', 'location_of', 'compared_with']
['produces', 'coexists_with', 'location_of', 'prevents']
['produces', 'stimulates', 'isa', 'disrupts']
['produces', 'inhibits', 'occurs_in', 'treats']
['produces', 'interacts_with']
['produces', 'same_as', 'associated_with', 'associated_with']
['produces', 'coexists_with', 'causes', 'inhibits']
['produces', 'part_of', 'disrupts', 'augments']
['produces', 'diagnoses', 'stimulates', 'prevents']
['produces', 'part_of', 'treats', 'causes']
['produces', 'coexists_with', 'causes', 'stimulates']
['produces', 'affects', 'affects', 'stimulates']
['produces', 'interacts_with', 'location_of', 'prevents']
['produces', 'occurs_in', 'same_as', 'occurs_in']
['produces', 'diagnoses', 'interacts_with', 'affects']
['produces', 'disrupts', 'part_of', 'affects']
['produces', 'complicates', 'prevents', 'diagnoses']
['produces', 'affects']
['produces', 'stimulates', 'causes', 'produces']
['produces', 'affects', 'coexists_with', 'part_of']
['produces', 'isa', 'part_of', 'stimulates']
['produces', 'same_as', 'produces', 'coexists_with']
['produces', 'inhibits', 'causes', 'diagnoses']
['produces', 'prevents', 'isa', 'part_of']
['produces', 'interacts_with', 'location_of', 'occurs_in']
['produces', 'stimulates', 'coexists_with', 'stimulates']
['produces', 'diagnoses', 'diagnoses', 'inhibits']
['produces', 'diagnoses', 'compared_with', 'produces']
['produces', 'coexists_with', 'coexists_with', 'prevents']
['produces', 'interacts_with', 'augments', 'compared_with']
['produces', 'stimulates', 'same_as', 'complicates']
['produces', 'diagnoses', 'coexists_with', 'causes']
['produces', 'inhibits', 'prevents', 'causes']
['produces', 'occurs_in', 'occurs_in', 'stimulates']
['produces', 'treats', 'interacts_with', 'diagnoses']
['produces', 'compared_with', 'associated_with', 'location_of']
['produces', 'stimulates', 'disrupts', 'diagnoses']
['produces', 'affects', 'treats', 'occurs_in']
['produces', 'location_of', 'complicates', 'treats']
['produces', 'part_of', 'prevents', 'stimulates']
['produces', 'interacts_with', 'interacts_with', 'stimulates']
['produces', 'prevents', 'diagnoses', 'compared_with']
['produces', 'part_of', 'inhibits', 'diagnoses']
['produces', 'interacts_with', 'produces', 'stimulates']
['produces', 'part_of', 'inhibits', 'produces']
['produces', 'inhibits', 'disrupts', 'diagnoses']
['produces', 'disrupts', 'complicates', 'disrupts']
['produces', 'stimulates', 'disrupts', 'coexists_with']
['produces', 'affects', 'occurs_in']
['produces', 'causes', 'occurs_in', 'prevents']
['produces', 'coexists_with', 'disrupts', 'stimulates']
['produces', 'coexists_with', 'disrupts', 'affects']
['produces', 'stimulates', 'interacts_with', 'stimulates']
['produces', 'complicates', 'compared_with', 'causes']
['produces']
['produces', 'complicates', 'occurs_in', 'prevents']
['produces', 'associated_with', 'coexists_with', 'location_of']
['produces', 'produces', 'prevents', 'isa']
['produces', 'produces', 'associated_with', 'stimulates']
['produces', 'stimulates', 'interacts_with', 'produces']
['produces', 'complicates', 'same_as', 'prevents']
['produces', 'augments', 'isa', 'isa']
['produces', 'disrupts', 'occurs_in', 'disrupts']
['produces', 'stimulates', 'stimulates', 'part_of']
['produces', 'occurs_in', 'isa', 'produces']
['produces', 'disrupts', 'complicates', 'occurs_in']
['produces', 'produces', 'interacts_with', 'occurs_in']
['produces', 'causes', 'prevents', 'causes']
['produces', 'occurs_in', 'causes', 'complicates']
['produces', 'causes', 'treats', 'produces']
['produces', 'produces', 'causes', 'coexists_with']
['produces', 'coexists_with', 'location_of', 'stimulates']
['produces', 'compared_with', 'produces', 'stimulates']
['produces', 'complicates', 'diagnoses', 'causes']
['produces', 'coexists_with', 'causes', 'augments']
['produces', 'causes', 'part_of', 'complicates']
['produces', 'treats', 'complicates', 'isa']
['produces', 'disrupts', 'coexists_with', 'same_as']
['produces', 'treats', 'disrupts', 'complicates']
['compared_with', 'treats', 'associated_with', 'affects']
['compared_with', 'complicates', 'diagnoses', 'disrupts']
['compared_with', 'interacts_with', 'same_as', 'prevents']
['compared_with', 'part_of', 'coexists_with', 'location_of']
['compared_with', 'disrupts', 'isa', 'compared_with']
['compared_with', 'stimulates', 'causes', 'same_as']
['compared_with', 'associated_with', 'inhibits', 'stimulates']
['compared_with', 'associated_with', 'causes', 'produces']
['compared_with', 'occurs_in', 'augments', 'augments']
['compared_with', 'produces', 'compared_with', 'disrupts']
['compared_with', 'coexists_with', 'coexists_with', 'part_of']
['compared_with', 'interacts_with', 'location_of', 'location_of']
['compared_with', 'complicates', 'compared_with', 'disrupts']
['compared_with', 'stimulates', 'compared_with', 'augments']
['compared_with', 'occurs_in', 'treats', 'coexists_with']
['compared_with', 'produces', 'augments', 'prevents']
['compared_with', 'causes', 'produces', 'complicates']
['compared_with', 'produces', 'augments', 'produces']
['compared_with', 'part_of', 'same_as', 'affects']
['compared_with', 'affects', 'compared_with', 'interacts_with']
['compared_with', 'augments', 'complicates', 'part_of']
['compared_with', 'part_of', 'isa', 'causes']
['compared_with', 'occurs_in', 'augments', 'inhibits']
['compared_with', 'coexists_with', 'associated_with', 'inhibits']
['compared_with', 'associated_with', 'treats', 'compared_with']
['compared_with', 'causes', 'part_of', 'stimulates']
['compared_with', 'prevents', 'associated_with', 'interacts_with']
['compared_with', 'produces', 'complicates', 'causes']
['compared_with', 'occurs_in', 'treats', 'causes']
['compared_with', 'complicates', 'affects', 'complicates']
['compared_with', 'associated_with', 'disrupts', 'produces']
['compared_with', 'stimulates', 'part_of', 'produces']
['compared_with', 'prevents', 'compared_with', 'complicates']
['compared_with', 'diagnoses', 'augments', 'complicates']
['compared_with', 'produces', 'complicates', 'coexists_with']
['compared_with', 'augments', 'disrupts', 'interacts_with']
['compared_with', 'stimulates', 'treats', 'location_of']
['compared_with', 'inhibits', 'produces', 'compared_with']
['compared_with', 'diagnoses', 'occurs_in', 'interacts_with']
['compared_with', 'occurs_in', 'location_of', 'disrupts']
['compared_with', 'coexists_with', 'part_of', 'coexists_with']
['compared_with', 'associated_with', 'produces', 'treats']
['compared_with', 'disrupts', 'location_of', 'interacts_with']
['compared_with', 'produces', 'treats', 'coexists_with']
['compared_with', 'interacts_with', 'location_of', 'coexists_with']
['compared_with', 'isa', 'stimulates', 'augments']
['compared_with', 'location_of', 'compared_with', 'location_of']
['compared_with', 'prevents', 'treats', 'associated_with']
['compared_with', 'disrupts', 'stimulates', 'augments']
['compared_with']
['compared_with', 'occurs_in', 'produces', 'disrupts']
['compared_with', 'produces', 'isa', 'same_as']
['compared_with', 'affects', 'interacts_with', 'part_of']
['compared_with', 'augments', 'interacts_with', 'prevents']
['compared_with', 'produces', 'disrupts', 'occurs_in']
['compared_with', 'associated_with', 'augments', 'affects']
['compared_with', 'location_of']
['compared_with', 'occurs_in', 'stimulates', 'occurs_in']
['compared_with', 'prevents', 'affects', 'causes']
['compared_with', 'treats', 'coexists_with', 'prevents']
['compared_with', 'disrupts', 'stimulates', 'inhibits']
['compared_with', 'compared_with', 'produces', 'diagnoses']
['compared_with', 'prevents', 'isa', 'inhibits']
['compared_with', 'associated_with', 'part_of', 'prevents']
['compared_with', 'disrupts', 'interacts_with', 'interacts_with']
['compared_with', 'causes', 'same_as', 'associated_with']
['compared_with', 'interacts_with', 'prevents', 'part_of']
['compared_with', 'occurs_in', 'prevents', 'produces']
['compared_with', 'location_of', 'interacts_with', 'isa']
['compared_with', 'augments', 'coexists_with', 'causes']
['compared_with', 'augments', 'causes', 'diagnoses']
['compared_with', 'stimulates', 'stimulates', 'augments']
['compared_with', 'treats', 'produces', 'part_of']
['compared_with', 'associated_with', 'interacts_with', 'affects']
['compared_with', 'inhibits', 'inhibits', 'treats']
['compared_with', 'inhibits', 'coexists_with', 'inhibits']
['compared_with', 'stimulates', 'interacts_with']
['compared_with', 'part_of', 'location_of']
['compared_with', 'isa', 'causes', 'complicates']
['compared_with', 'produces', 'location_of', 'associated_with']
['compared_with', 'isa', 'produces', 'location_of']
['compared_with', 'coexists_with', 'part_of', 'prevents']
['compared_with', 'location_of', 'coexists_with', 'location_of']
['compared_with', 'occurs_in', 'produces']
['compared_with', 'part_of', 'inhibits', 'complicates']
['compared_with', 'same_as', 'part_of', 'disrupts']
['compared_with', 'produces', 'stimulates', 'causes']
['compared_with', 'disrupts', 'prevents', 'causes']
['compared_with', 'affects', 'complicates', 'affects']
['compared_with', 'part_of', 'augments', 'augments']
['compared_with', 'produces', 'inhibits', 'inhibits']
['compared_with', 'interacts_with', 'inhibits', 'treats']
['compared_with', 'affects', 'produces', 'associated_with']
['compared_with', 'part_of', 'coexists_with', 'stimulates']
['compared_with', 'inhibits', 'diagnoses', 'isa']
['compared_with', 'isa', 'causes', 'location_of']
['compared_with', 'causes', 'diagnoses', 'stimulates']
['compared_with', 'treats', 'causes', 'interacts_with']
['augments', 'same_as', 'augments', 'same_as']
['augments', 'occurs_in', 'same_as', 'augments']
['augments', 'affects', 'location_of', 'stimulates']
['augments', 'occurs_in', 'isa', 'stimulates']
['augments', 'part_of', 'associated_with', 'causes']
['augments', 'prevents', 'prevents', 'prevents']
['augments', 'produces', 'causes', 'isa']
['augments', 'diagnoses', 'prevents']
['augments', 'produces', 'inhibits', 'augments']
['augments', 'part_of', 'affects', 'complicates']
['augments', 'interacts_with', 'inhibits', 'diagnoses']
['augments', 'treats', 'affects', 'interacts_with']
['augments', 'part_of', 'compared_with']
['augments', 'diagnoses', 'compared_with', 'treats']
['augments', 'diagnoses', 'stimulates', 'affects']
['augments', 'same_as', 'treats', 'part_of']
['augments', 'coexists_with', 'treats', 'produces']
['augments', 'affects', 'treats', 'causes']
['augments', 'treats', 'disrupts', 'complicates']
['augments', 'produces', 'inhibits', 'compared_with']
['augments', 'affects', 'coexists_with', 'inhibits']
['augments', 'isa', 'diagnoses', 'part_of']
['augments', 'location_of', 'coexists_with', 'location_of']
['augments', 'inhibits', 'part_of', 'coexists_with']
['augments', 'disrupts', 'coexists_with', 'causes']
['augments', 'complicates', 'treats', 'treats']
['augments', 'compared_with', 'diagnoses', 'associated_with']
['augments', 'complicates', 'inhibits', 'interacts_with']
['augments', 'augments', 'treats', 'same_as']
['augments', 'interacts_with', 'isa', 'stimulates']
['augments', 'coexists_with', 'part_of', 'isa']
['augments', 'associated_with', 'treats', 'complicates']
['augments', 'coexists_with', 'compared_with', 'stimulates']
['augments', 'diagnoses', 'part_of', 'compared_with']
['augments', 'occurs_in', 'causes', 'coexists_with']
['augments', 'prevents', 'causes', 'prevents']
['augments', 'compared_with', 'same_as', 'isa']
['augments', 'affects', 'interacts_with', 'causes']
['augments', 'location_of', 'prevents', 'causes']
['augments', 'prevents', 'part_of']
['augments', 'compared_with']
['augments', 'part_of', 'part_of', 'part_of']
['augments', 'complicates', 'inhibits', 'coexists_with']
['augments']
['augments', 'part_of', 'prevents', 'occurs_in']
['augments', 'affects', 'treats', 'disrupts']
['augments', 'inhibits', 'diagnoses', 'produces']
['augments', 'inhibits', 'interacts_with', 'location_of']
['augments', 'disrupts', 'coexists_with', 'produces']
['augments', 'part_of', 'causes', 'associated_with']
['augments', 'coexists_with', 'isa', 'compared_with']
['augments', 'treats', 'part_of', 'interacts_with']
['augments', 'stimulates', 'part_of', 'produces']
['augments', 'augments', 'isa', 'location_of']
['augments', 'interacts_with', 'inhibits', 'treats']
['augments', 'prevents', 'complicates', 'produces']
['augments', 'part_of']
['augments', 'augments', 'interacts_with', 'isa']
['augments', 'associated_with', 'associated_with', 'part_of']
['augments', 'diagnoses', 'isa', 'inhibits']
['augments', 'treats', 'location_of', 'stimulates']
['augments', 'occurs_in', 'location_of', 'location_of']
['augments', 'inhibits', 'coexists_with', 'interacts_with']
['augments', 'isa', 'part_of', 'inhibits']
['augments', 'complicates', 'part_of', 'location_of']
['augments', 'isa', 'inhibits', 'interacts_with']
['augments', 'causes', 'treats', 'diagnoses']
['augments', 'treats', 'diagnoses', 'isa']
['augments', 'location_of', 'treats', 'stimulates']
['augments', 'associated_with', 'associated_with', 'stimulates']
['augments', 'causes', 'affects', 'occurs_in']
['augments', 'occurs_in', 'disrupts', 'produces']
['augments', 'causes', 'diagnoses', 'treats']
['augments', 'treats', 'prevents', 'stimulates']
['augments', 'occurs_in', 'location_of', 'interacts_with']
['augments', 'treats', 'affects', 'compared_with']
['augments', 'diagnoses', 'causes', 'complicates']
['augments', 'associated_with']
['augments', 'produces', 'part_of', 'diagnoses']
['augments', 'produces', 'produces', 'treats']
['augments', 'prevents', 'causes', 'coexists_with']
['augments', 'part_of', 'prevents', 'coexists_with']
['augments', 'affects', 'produces', 'associated_with']
['augments', 'associated_with', 'occurs_in', 'complicates']
['augments', 'complicates', 'augments', 'coexists_with']
['augments', 'affects', 'stimulates', 'associated_with']
['augments', 'associated_with', 'occurs_in', 'stimulates']
['augments', 'coexists_with', 'prevents', 'treats']
['augments', 'part_of', 'same_as', 'causes']
['augments', 'location_of', 'isa', 'interacts_with']
['augments', 'associated_with', 'prevents', 'treats']
['augments', 'prevents', 'stimulates', 'prevents']
['augments', 'isa', 'part_of', 'diagnoses']
['augments', 'part_of', 'complicates', 'location_of']
['augments', 'inhibits', 'occurs_in', 'associated_with']
['augments', 'same_as', 'interacts_with', 'coexists_with']
['inhibits', 'affects', 'compared_with', 'complicates']
['inhibits', 'location_of', 'occurs_in', 'occurs_in']
['inhibits', 'treats', 'inhibits', 'treats']
['inhibits', 'prevents', 'inhibits', 'treats']
['inhibits', 'location_of', 'part_of', 'part_of']
['inhibits', 'part_of', 'prevents', 'occurs_in']
['inhibits', 'complicates', 'produces', 'disrupts']
['inhibits', 'complicates', 'treats', 'prevents']
['inhibits', 'causes', 'associated_with', 'disrupts']
['inhibits', 'coexists_with', 'coexists_with', 'interacts_with']
['inhibits', 'produces', 'isa', 'inhibits']
['inhibits', 'stimulates', 'stimulates', 'stimulates']
['inhibits', 'coexists_with', 'disrupts', 'part_of']
['inhibits', 'isa', 'prevents', 'causes']
['inhibits', 'inhibits', 'occurs_in', 'isa']
['inhibits', 'affects', 'disrupts', 'stimulates']
['inhibits', 'stimulates', 'inhibits', 'treats']
['inhibits', 'prevents', 'part_of', 'interacts_with']
['inhibits', 'same_as', 'affects', 'occurs_in']
['inhibits', 'prevents', 'causes', 'prevents']
['inhibits', 'associated_with', 'part_of', 'associated_with']
['inhibits', 'stimulates', 'diagnoses', 'coexists_with']
['inhibits', 'inhibits', 'occurs_in', 'coexists_with']
['inhibits', 'same_as', 'coexists_with', 'stimulates']
['inhibits', 'treats', 'stimulates', 'part_of']
['inhibits', 'complicates', 'isa', 'produces']
['inhibits', 'diagnoses', 'occurs_in', 'part_of']
['inhibits', 'coexists_with', 'occurs_in', 'same_as']
['inhibits', 'stimulates', 'stimulates', 'occurs_in']
['inhibits', 'diagnoses', 'diagnoses', 'location_of']
['inhibits', 'produces', 'isa', 'complicates']
['inhibits', 'associated_with', 'produces', 'augments']
['inhibits', 'produces', 'treats', 'location_of']
['inhibits', 'prevents', 'diagnoses', 'disrupts']
['inhibits', 'affects', 'diagnoses', 'stimulates']
['inhibits', 'treats', 'prevents', 'part_of']
['inhibits', 'stimulates', 'complicates', 'causes']
['inhibits', 'occurs_in', 'diagnoses', 'produces']
['inhibits', 'part_of']
['inhibits', 'disrupts', 'diagnoses', 'occurs_in']
['inhibits', 'part_of', 'location_of', 'diagnoses']
['inhibits', 'causes', 'augments', 'complicates']
['inhibits', 'treats', 'location_of', 'diagnoses']
['inhibits', 'isa', 'produces', 'same_as']
['inhibits', 'occurs_in', 'affects', 'associated_with']
['inhibits', 'produces', 'augments', 'same_as']
['inhibits', 'coexists_with', 'part_of', 'prevents']
['inhibits', 'stimulates', 'interacts_with', 'associated_with']
['inhibits', 'occurs_in', 'occurs_in', 'compared_with']
['inhibits', 'disrupts', 'location_of', 'complicates']
['inhibits', 'causes', 'associated_with', 'interacts_with']
['inhibits', 'complicates', 'part_of', 'produces']
['inhibits', 'causes', 'treats', 'prevents']
['inhibits']
['inhibits', 'interacts_with', 'occurs_in', 'prevents']
['inhibits', 'stimulates', 'causes', 'coexists_with']
['inhibits', 'same_as', 'interacts_with', 'causes']
['inhibits', 'part_of', 'affects', 'isa']
['inhibits', 'isa', 'prevents', 'location_of']
['inhibits', 'produces', 'associated_with', 'causes']
['inhibits', 'disrupts', 'part_of', 'interacts_with']
['inhibits', 'augments', 'part_of', 'location_of']
['inhibits', 'prevents', 'produces', 'interacts_with']
['inhibits', 'same_as', 'isa', 'stimulates']
['inhibits', 'augments', 'same_as', 'interacts_with']
['inhibits', 'augments', 'interacts_with', 'complicates']
['inhibits', 'complicates', 'augments', 'produces']
['inhibits', 'augments', 'affects', 'same_as']
['inhibits', 'coexists_with', 'prevents', 'interacts_with']
['inhibits', 'disrupts', 'treats', 'prevents']
['inhibits', 'interacts_with', 'complicates', 'inhibits']
['inhibits', 'produces', 'interacts_with', 'diagnoses']
['inhibits', 'inhibits', 'location_of', 'treats']
['inhibits', 'produces', 'diagnoses', 'inhibits']
['inhibits', 'same_as', 'inhibits', 'causes']
['inhibits', 'prevents', 'disrupts', 'complicates']
['inhibits', 'prevents', 'produces', 'occurs_in']
['inhibits', 'interacts_with', 'diagnoses', 'complicates']
['inhibits', 'occurs_in', 'augments', 'part_of']
['inhibits', 'affects', 'location_of', 'part_of']
['inhibits', 'coexists_with', 'causes', 'produces']
['inhibits', 'interacts_with', 'causes', 'associated_with']
['inhibits', 'part_of', 'interacts_with', 'isa']
['inhibits', 'isa', 'coexists_with', 'coexists_with']
['inhibits', 'part_of', 'location_of', 'inhibits']
['inhibits', 'part_of', 'same_as', 'augments']
['inhibits', 'occurs_in', 'associated_with', 'prevents']
['inhibits', 'location_of', 'isa', 'prevents']
['inhibits', 'coexists_with', 'associated_with', 'isa']
['inhibits', 'coexists_with', 'complicates', 'inhibits']
['inhibits', 'prevents', 'inhibits', 'produces']
['inhibits', 'augments', 'occurs_in', 'produces']
['inhibits', 'augments', 'associated_with', 'interacts_with']
['inhibits', 'treats', 'isa', 'isa']
['inhibits', 'location_of', 'complicates', 'compared_with']
['inhibits', 'diagnoses', 'occurs_in']
['inhibits', 'coexists_with', 'interacts_with', 'augments']
['inhibits', 'prevents', 'prevents', 'part_of']
['inhibits', 'augments', 'causes', 'prevents']
['inhibits', 'augments', 'treats', 'part_of']
['causes', 'treats', 'augments']
['causes', 'same_as', 'location_of', 'disrupts']
['causes', 'prevents', 'causes', 'disrupts']
['causes', 'stimulates', 'part_of', 'complicates']
['causes', 'produces', 'inhibits', 'produces']
['causes', 'complicates', 'treats', 'complicates']
['causes', 'affects', 'disrupts', 'prevents']
['causes', 'interacts_with', 'causes', 'complicates']
['causes', 'disrupts', 'isa', 'augments']
['causes', 'complicates', 'occurs_in', 'complicates']
['causes', 'treats', 'coexists_with', 'prevents']
['causes', 'prevents', 'prevents', 'location_of']
['causes', 'causes', 'diagnoses', 'produces']
['causes', 'same_as', 'produces', 'disrupts']
['causes', 'complicates', 'prevents', 'produces']
['causes', 'augments', 'produces', 'causes']
['causes', 'stimulates', 'stimulates', 'occurs_in']
['causes', 'augments', 'prevents', 'causes']
['causes', 'stimulates', 'produces', 'treats']
['causes', 'location_of', 'produces', 'interacts_with']
['causes', 'causes', 'same_as', 'location_of']
['causes', 'augments', 'diagnoses', 'inhibits']
['causes', 'compared_with', 'disrupts', 'diagnoses']
['causes', 'location_of', 'complicates', 'augments']
['causes', 'complicates', 'treats', 'causes']
['causes', 'stimulates', 'interacts_with', 'diagnoses']
['causes', 'coexists_with', 'produces', 'location_of']
['causes', 'isa', 'prevents', 'coexists_with']
['causes', 'occurs_in', 'associated_with']
['causes', 'part_of', 'compared_with', 'part_of']
['causes', 'diagnoses', 'causes', 'diagnoses']
['causes', 'isa', 'produces', 'occurs_in']
['causes', 'coexists_with', 'inhibits', 'augments']
['causes', 'produces', 'associated_with', 'diagnoses']
['causes', 'compared_with', 'prevents', 'produces']
['causes', 'complicates', 'part_of', 'produces']
['causes', 'coexists_with', 'stimulates', 'prevents']
['causes', 'augments', 'inhibits', 'location_of']
['causes', 'complicates', 'prevents']
['causes', 'location_of', 'location_of', 'inhibits']
['causes', 'complicates', 'coexists_with', 'occurs_in']
['causes', 'associated_with', 'occurs_in', 'augments']
['causes', 'causes', 'location_of', 'causes']
['causes', 'complicates']
['causes', 'prevents', 'interacts_with', 'complicates']
['causes', 'part_of', 'occurs_in', 'part_of']
['causes', 'part_of', 'coexists_with', 'occurs_in']
['causes', 'occurs_in', 'complicates', 'part_of']
['causes', 'complicates', 'part_of', 'disrupts']
['causes', 'produces', 'disrupts', 'coexists_with']
['causes', 'affects', 'treats', 'diagnoses']
['causes', 'diagnoses', 'affects', 'complicates']
['causes', 'prevents', 'interacts_with', 'produces']
['causes', 'prevents', 'prevents', 'causes']
['causes', 'location_of', 'prevents', 'produces']
['causes', 'affects', 'coexists_with', 'augments']
['causes', 'same_as', 'treats', 'augments']
['causes', 'produces', 'same_as', 'occurs_in']
['causes', 'location_of', 'diagnoses', 'occurs_in']
['causes', 'stimulates', 'interacts_with', 'causes']
['causes', 'produces', 'disrupts', 'isa']
['causes']
['causes', 'produces', 'location_of', 'associated_with']
['causes', 'associated_with', 'disrupts', 'diagnoses']
['causes', 'produces', 'augments', 'location_of']
['causes', 'occurs_in', 'augments', 'produces']
['causes', 'produces', 'same_as', 'treats']
['causes', 'affects', 'augments', 'augments']
['causes', 'affects']
['causes', 'occurs_in', 'causes', 'produces']
['causes', 'stimulates', 'augments', 'complicates']
['causes', 'produces', 'prevents', 'occurs_in']
['causes', 'coexists_with', 'disrupts', 'part_of']
['causes', 'prevents', 'coexists_with', 'produces']
['causes', 'occurs_in', 'affects', 'causes']
['causes', 'occurs_in', 'inhibits', 'part_of']
['causes', 'produces', 'interacts_with', 'part_of']
['causes', 'stimulates', 'produces', 'part_of']
['causes', 'affects', 'occurs_in', 'produces']
['causes', 'treats', 'augments', 'interacts_with']
['causes', 'affects', 'complicates', 'augments']
['causes', 'isa', 'compared_with', 'disrupts']
['causes', 'occurs_in', 'occurs_in', 'interacts_with']
['causes', 'disrupts', 'causes', 'interacts_with']
['causes', 'affects', 'prevents', 'complicates']
['causes', 'associated_with', 'complicates', 'produces']
['causes', 'affects', 'complicates', 'associated_with']
['causes', 'inhibits', 'stimulates', 'stimulates']
['causes', 'disrupts', 'causes', 'produces']
['causes', 'location_of', 'produces', 'isa']
['causes', 'compared_with', 'produces', 'part_of']
['causes', 'causes', 'treats', 'coexists_with']
['causes', 'stimulates', 'disrupts', 'prevents']
['causes', 'augments', 'affects', 'disrupts']
['causes', 'inhibits', 'treats', 'produces']
['causes', 'produces', 'isa', 'causes']
['causes', 'prevents', 'disrupts', 'compared_with']
['causes', 'produces', 'affects', 'occurs_in']
['causes', 'augments', 'prevents', 'part_of']
['stimulates', 'stimulates', 'prevents', 'prevents']
['stimulates', 'diagnoses', 'isa', 'location_of']
['stimulates', 'location_of', 'interacts_with', 'stimulates']
['stimulates', 'causes', 'interacts_with', 'complicates']
['stimulates', 'causes', 'occurs_in', 'same_as']
['stimulates', 'compared_with', 'coexists_with', 'occurs_in']
['stimulates', 'treats', 'inhibits', 'part_of']
['stimulates', 'inhibits', 'location_of', 'occurs_in']
['stimulates', 'disrupts', 'complicates', 'prevents']
['stimulates', 'same_as', 'isa', 'inhibits']
['stimulates', 'affects', 'treats', 'causes']
['stimulates', 'stimulates', 'location_of', 'coexists_with']
['stimulates', 'complicates', 'stimulates', 'prevents']
['stimulates', 'compared_with', 'prevents', 'prevents']
['stimulates', 'interacts_with', 'causes', 'location_of']
['stimulates', 'associated_with', 'treats', 'interacts_with']
['stimulates', 'causes', 'isa', 'prevents']
['stimulates', 'diagnoses', 'affects', 'prevents']
['stimulates', 'interacts_with', 'inhibits', 'augments']
['stimulates', 'diagnoses', 'location_of', 'affects']
['stimulates', 'coexists_with', 'associated_with', 'occurs_in']
['stimulates', 'coexists_with', 'occurs_in']
['stimulates', 'same_as', 'coexists_with', 'same_as']
['stimulates', 'causes', 'diagnoses', 'coexists_with']
['stimulates', 'location_of', 'inhibits', 'stimulates']
['stimulates', 'treats', 'augments', 'part_of']
['stimulates', 'part_of', 'compared_with', 'isa']
['stimulates', 'compared_with', 'augments', 'occurs_in']
['stimulates', 'occurs_in', 'occurs_in', 'compared_with']
['stimulates', 'occurs_in', 'complicates', 'produces']
['stimulates', 'prevents', 'causes', 'treats']
['stimulates', 'part_of', 'inhibits', 'interacts_with']
['stimulates', 'isa', 'disrupts', 'stimulates']
['stimulates', 'prevents', 'disrupts', 'occurs_in']
['stimulates', 'occurs_in', 'isa', 'associated_with']
['stimulates', 'occurs_in', 'causes', 'complicates']
['stimulates', 'prevents', 'coexists_with', 'coexists_with']
['stimulates', 'interacts_with', 'inhibits', 'prevents']
['stimulates', 'treats']
['stimulates', 'diagnoses', 'diagnoses', 'produces']
['stimulates', 'part_of', 'augments', 'prevents']
['stimulates', 'produces', 'associated_with', 'causes']
['stimulates', 'associated_with', 'produces', 'diagnoses']
['stimulates', 'augments', 'causes', 'produces']
['stimulates', 'interacts_with', 'stimulates', 'compared_with']
['stimulates', 'produces', 'produces', 'location_of']
['stimulates', 'coexists_with', 'complicates', 'diagnoses']
['stimulates', 'interacts_with']
['stimulates', 'coexists_with', 'isa', 'disrupts']
['stimulates', 'occurs_in', 'associated_with', 'treats']
