['diagnoses', 'stimulates', 'associated_with', 'part_of']
['disrupts', 'affects', 'compared_with', 'augments']
['disrupts', 'inhibits', 'occurs_in', 'produces']
['disrupts', 'diagnoses', 'same_as', 'augments']
['disrupts', 'affects', 'inhibits', 'disrupts']
['disrupts', 'stimulates', 'diagnoses', 'complicates']
['disrupts', 'compared_with', 'stimulates', 'occurs_in']
['disrupts', 'occurs_in', 'location_of', 'part_of']
['disrupts', 'augments', 'complicates', 'same_as']
['disrupts', 'stimulates', 'produces', 'compared_with']
['disrupts', 'stimulates', 'coexists_with', 'location_of']
['disrupts', 'treats', 'produces', 'diagnoses']
['disrupts', 'coexists_with', 'compared_with', 'same_as']
['disrupts', 'compared_with', 'diagnoses', 'location_of']
['disrupts', 'coexists_with', 'affects', 'affects']
['disrupts', 'prevents', 'associated_with', 'augments']
['disrupts', 'complicates', 'prevents', 'treats']
['disrupts', 'treats', 'augments', 'treats']
['disrupts', 'produces', 'compared_with', 'interacts_with']
['disrupts', 'same_as', 'prevents', 'affects']
['disrupts', 'interacts_with', 'treats', 'same_as']
['disrupts', 'interacts_with', 'produces', 'causes']
['disrupts', 'same_as', 'causes', 'interacts_with']
['disrupts', 'stimulates', 'causes', 'occurs_in']
['disrupts', 'disrupts', 'inhibits', 'inhibits']
['produces', 'complicates', 'location_of', 'associated_with']
['produces', 'compared_with', 'prevents', 'augments']
['produces', 'associated_with', 'isa', 'affects']
['produces', 'disrupts', 'associated_with', 'part_of']
['produces', 'interacts_with', 'diagnoses', 'causes']
['produces', 'same_as', 'stimulates', 'disrupts']
['produces', 'interacts_with', 'affects', 'part_of']
['produces', 'produces']
['produces', 'affects', 'augments', 'treats']
['produces', 'disrupts', 'coexists_with', 'affects']
['produces', 'produces', 'part_of', 'stimulates']
['produces', 'stimulates', 'location_of', 'disrupts']
['produces', 'inhibits', 'coexists_with', 'associated_with']
['produces', 'disrupts', 'location_of', 'diagnoses']
['produces', 'treats', 'interacts_with', 'occurs_in']
['produces', 'same_as', 'causes', 'location_of']
['produces', 'augments', 'causes', 'affects']
['produces', 'stimulates', 'interacts_with', 'interacts_with']
['produces', 'stimulates', 'location_of', 'produces']
['produces', 'compared_with', 'inhibits', 'affects']
['produces', 'affects', 'causes', 'occurs_in']
['produces', 'same_as', 'disrupts']
['produces', 'produces', 'coexists_with', 'produces']
['produces', 'inhibits', 'causes', 'isa']
['produces', 'augments', 'inhibits', 'augments']
['produces', 'location_of', 'treats', 'causes']
['produces', 'affects', 'compared_with', 'location_of']
['produces', 'disrupts', 'stimulates', 'prevents']
['produces', 'compared_with', 'produces', 'treats']
['produces', 'causes', 'occurs_in', 'coexists_with']
['produces', 'occurs_in', 'inhibits', 'location_of']
['produces', 'compared_with', 'disrupts', 'compared_with']
['produces']
['produces', 'associated_with']
['produces', 'compared_with', 'stimulates', 'affects']
['produces', 'produces', 'occurs_in', 'inhibits']
['produces', 'diagnoses', 'isa', 'same_as']
['produces', 'same_as', 'occurs_in', 'augments']
['produces', 'part_of', 'coexists_with', 'inhibits']
['produces', 'causes', 'produces', 'complicates']
['produces', 'part_of', 'augments', 'occurs_in']
['produces', 'coexists_with', 'inhibits', 'coexists_with']
['produces', 'isa', 'treats', 'coexists_with']
['produces', 'associated_with', 'treats', 'coexists_with']
['produces', 'affects', 'same_as', 'associated_with']
['produces', 'inhibits', 'causes', 'stimulates']
['produces', 'associated_with', 'part_of', 'interacts_with']
['produces', 'treats', 'isa', 'associated_with']
['produces', 'isa', 'coexists_with', 'augments']
['produces', 'isa']
['produces', 'disrupts', 'interacts_with']
['produces', 'location_of', 'complicates', 'prevents']
['produces', 'compared_with', 'associated_with']
['produces', 'isa', 'location_of', 'coexists_with']
['produces', 'complicates', 'produces', 'inhibits']
['produces', 'prevents', 'prevents', 'isa']
['produces', 'stimulates', 'part_of']
['produces', 'augments', 'augments', 'inhibits']
['produces', 'same_as', 'treats', 'prevents']
['produces', 'location_of', 'inhibits', 'disrupts']
['produces', 'complicates', 'treats', 'isa']
['produces', 'coexists_with', 'treats']
['produces', 'inhibits', 'prevents', 'stimulates']
['produces', 'location_of', 'affects', 'part_of']
['produces', 'affects']
['produces', 'coexists_with', 'occurs_in', 'same_as']
['produces', 'isa', 'produces', 'prevents']
['produces', 'treats', 'interacts_with', 'compared_with']
['produces', 'associated_with', 'occurs_in', 'produces']
['produces', 'occurs_in', 'interacts_with', 'location_of']
['produces', 'prevents', 'same_as', 'coexists_with']
['produces', 'coexists_with', 'produces', 'prevents']
['produces', 'produces', 'interacts_with', 'produces']
['produces', 'affects', 'isa', 'diagnoses']
['produces', 'stimulates', 'inhibits', 'complicates']
['produces', 'isa', 'causes', 'part_of']
['produces', 'prevents', 'same_as', 'compared_with']
['produces', 'interacts_with', 'causes', 'part_of']
['produces', 'augments', 'causes', 'interacts_with']
['produces', 'interacts_with', 'location_of', 'complicates']
['produces', 'augments']
['produces', 'associated_with', 'isa', 'part_of']
['produces', 'augments', 'same_as', 'produces']
['produces', 'interacts_with', 'disrupts', 'produces']
['produces', 'associated_with', 'prevents', 'same_as']
['produces', 'isa', 'complicates', 'occurs_in']
['produces', 'prevents', 'stimulates', 'complicates']
['produces', 'associated_with', 'produces', 'diagnoses']
['produces', 'prevents', 'inhibits', 'affects']
['produces', 'location_of', 'inhibits', 'part_of']
['produces', 'isa', 'occurs_in', 'disrupts']
['produces', 'stimulates', 'location_of', 'prevents']
['produces', 'produces', 'part_of', 'augments']
['produces', 'compared_with', 'isa', 'same_as']
['produces', 'coexists_with', 'produces', 'diagnoses']
['compared_with', 'prevents', 'causes', 'inhibits']
['compared_with', 'stimulates', 'stimulates', 'part_of']
['compared_with', 'produces', 'causes', 'diagnoses']
['compared_with', 'treats', 'inhibits', 'associated_with']
['compared_with', 'occurs_in', 'augments', 'complicates']
['compared_with', 'augments', 'isa', 'produces']
['compared_with', 'interacts_with', 'interacts_with', 'associated_with']
['compared_with', 'location_of', 'prevents']
['compared_with', 'produces', 'causes', 'treats']
['compared_with', 'interacts_with', 'location_of', 'compared_with']
['compared_with', 'location_of']
['compared_with', 'augments', 'occurs_in', 'treats']
['compared_with', 'isa', 'affects', 'part_of']
['compared_with', 'associated_with', 'treats']
['compared_with', 'augments', 'part_of', 'part_of']
['compared_with', 'augments', 'prevents', 'occurs_in']
['compared_with', 'produces', 'isa', 'affects']
['compared_with', 'produces', 'prevents', 'stimulates']
['compared_with', 'diagnoses', 'part_of', 'disrupts']
['compared_with', 'same_as', 'coexists_with', 'location_of']
['compared_with', 'prevents', 'coexists_with', 'coexists_with']
['compared_with', 'part_of', 'compared_with', 'treats']
['compared_with', 'augments', 'coexists_with', 'augments']
['compared_with', 'compared_with', 'location_of', 'produces']
['compared_with', 'stimulates', 'stimulates', 'complicates']
['compared_with', 'occurs_in', 'prevents', 'part_of']
['compared_with', 'augments', 'produces', 'complicates']
['compared_with', 'diagnoses', 'treats', 'complicates']
['compared_with', 'same_as', 'diagnoses', 'augments']
['compared_with', 'causes', 'complicates', 'location_of']
['compared_with', 'isa', 'prevents', 'part_of']
['compared_with', 'interacts_with', 'same_as', 'interacts_with']
['compared_with', 'treats', 'associated_with', 'prevents']
['compared_with', 'occurs_in', 'treats', 'occurs_in']
['compared_with', 'part_of', 'part_of', 'associated_with']
['compared_with', 'location_of', 'produces', 'associated_with']
['compared_with', 'prevents', 'location_of', 'treats']
['compared_with', 'associated_with', 'isa', 'disrupts']
['compared_with', 'prevents', 'coexists_with', 'produces']
['compared_with', 'causes', 'diagnoses', 'augments']
['compared_with', 'prevents', 'prevents', 'augments']
['compared_with', 'interacts_with', 'location_of']
['compared_with', 'affects', 'interacts_with', 'location_of']
['compared_with', 'diagnoses', 'associated_with', 'interacts_with']
['compared_with', 'isa', 'prevents', 'causes']
['compared_with', 'affects', 'isa', 'interacts_with']
['compared_with', 'compared_with', 'causes', 'causes']
['compared_with', 'occurs_in', 'prevents', 'causes']
['compared_with', 'complicates', 'part_of', 'stimulates']
['compared_with', 'produces', 'produces', 'affects']
['compared_with', 'prevents', 'augments', 'compared_with']
['compared_with', 'isa', 'inhibits', 'inhibits']
['compared_with', 'prevents', 'inhibits', 'coexists_with']
['compared_with', 'occurs_in', 'occurs_in', 'coexists_with']
['compared_with', 'diagnoses', 'associated_with', 'part_of']
['compared_with', 'stimulates', 'augments', 'isa']
['compared_with', 'coexists_with', 'prevents', 'treats']
['compared_with', 'causes', 'same_as', 'produces']
['compared_with', 'prevents', 'coexists_with', 'compared_with']
['compared_with', 'treats', 'interacts_with', 'coexists_with']
['compared_with', 'causes', 'location_of', 'compared_with']
['compared_with', 'treats', 'complicates', 'part_of']
['compared_with', 'isa', 'occurs_in', 'prevents']
['compared_with', 'disrupts', 'interacts_with', 'stimulates']
['compared_with', 'diagnoses', 'compared_with', 'associated_with']
['compared_with']
['compared_with', 'coexists_with', 'prevents', 'augments']
['compared_with', 'produces', 'coexists_with', 'location_of']
['compared_with', 'associated_with']
['compared_with', 'same_as', 'diagnoses', 'affects']
['compared_with', 'location_of', 'causes', 'diagnoses']
['compared_with', 'associated_with', 'part_of', 'location_of']
['compared_with', 'produces', 'location_of', 'augments']
['compared_with', 'produces', 'augments', 'associated_with']
['compared_with', 'location_of', 'coexists_with', 'causes']
['compared_with', 'diagnoses', 'occurs_in', 'causes']
['compared_with', 'isa', 'complicates', 'compared_with']
['compared_with', 'augments', 'complicates', 'occurs_in']
['compared_with', 'inhibits', 'treats', 'part_of']
['compared_with', 'diagnoses', 'compared_with', 'diagnoses']
['compared_with', 'isa', 'isa', 'affects']
['compared_with', 'produces', 'produces', 'disrupts']
['compared_with', 'location_of', 'inhibits', 'treats']
['compared_with', 'complicates', 'same_as', 'compared_with']
['compared_with', 'associated_with', 'stimulates', 'compared_with']
['compared_with', 'augments']
['compared_with', 'part_of', 'treats', 'causes']
['compared_with', 'produces', 'produces', 'treats']
['compared_with', 'disrupts', 'isa', 'prevents']
['compared_with', 'same_as', 'complicates', 'part_of']
['compared_with', 'coexists_with', 'part_of', 'occurs_in']
['compared_with', 'causes', 'inhibits', 'location_of']
['compared_with', 'causes', 'complicates', 'inhibits']
['compared_with', 'location_of', 'complicates', 'diagnoses']
['compared_with', 'same_as', 'produces', 'location_of']
['compared_with', 'stimulates', 'stimulates', 'causes']
['compared_with', 'augments', 'isa', 'coexists_with']
['compared_with', 'interacts_with', 'isa', 'diagnoses']
['compared_with', 'affects', 'disrupts', 'causes']
['compared_with', 'affects', 'produces', 'compared_with']
['augments', 'same_as', 'diagnoses', 'occurs_in']
['augments', 'location_of', 'diagnoses', 'prevents']
['augments', 'interacts_with', 'prevents', 'location_of']
['augments', 'coexists_with', 'prevents', 'complicates']
['augments', 'compared_with', 'produces', 'occurs_in']
['augments', 'occurs_in']
['augments', 'complicates', 'location_of', 'causes']
['augments', 'prevents', 'affects', 'stimulates']
['augments', 'complicates']
['augments', 'stimulates', 'occurs_in', 'produces']
['augments', 'coexists_with', 'part_of', 'compared_with']
['augments', 'stimulates', 'associated_with', 'prevents']
['augments', 'coexists_with', 'produces', 'augments']
['augments', 'part_of', 'produces', 'coexists_with']
['augments']
['augments', 'causes', 'location_of', 'isa']
['augments', 'causes', 'occurs_in', 'produces']
['augments', 'part_of', 'produces', 'stimulates']
['augments', 'coexists_with', 'prevents', 'produces']
['augments', 'associated_with', 'isa', 'prevents']
['augments', 'treats', 'diagnoses', 'isa']
['augments', 'compared_with', 'complicates', 'interacts_with']
['augments', 'affects', 'occurs_in', 'augments']
['augments', 'prevents', 'augments', 'complicates']
['augments', 'location_of', 'inhibits', 'prevents']
['augments', 'isa', 'disrupts', 'prevents']
['augments', 'occurs_in', 'coexists_with', 'stimulates']
['augments', 'isa', 'treats', 'part_of']
['augments', 'isa', 'affects', 'location_of']
['augments', 'associated_with', 'prevents', 'disrupts']
['augments', 'augments', 'augments', 'associated_with']
['augments', 'coexists_with', 'treats', 'isa']
['augments', 'interacts_with', 'location_of', 'treats']
['augments', 'stimulates', 'augments', 'stimulates']
['augments', 'produces', 'part_of', 'treats']
['augments', 'occurs_in', 'part_of', 'disrupts']
['augments', 'disrupts', 'disrupts']
['augments', 'coexists_with', 'compared_with', 'compared_with']
['augments', 'augments', 'treats', 'augments']
['augments', 'location_of', 'complicates', 'augments']
['augments', 'part_of']
['augments', 'associated_with', 'disrupts', 'isa']
['augments', 'isa', 'inhibits']
['augments', 'associated_with', 'coexists_with', 'diagnoses']
['augments', 'compared_with', 'associated_with', 'compared_with']
['augments', 'coexists_with', 'location_of', 'coexists_with']
['augments', 'complicates', 'same_as', 'affects']
['augments', 'prevents', 'treats', 'produces']
['augments', 'occurs_in', 'augments', 'complicates']
['augments', 'produces', 'produces', 'coexists_with']
['augments', 'augments']
['augments', 'affects', 'diagnoses', 'associated_with']
['augments', 'augments', 'isa', 'stimulates']
['augments', 'treats', 'prevents', 'prevents']
['augments', 'location_of', 'prevents', 'affects']
['augments', 'coexists_with', 'same_as', 'coexists_with']
['augments', 'interacts_with', 'treats', 'same_as']
['augments', 'occurs_in', 'prevents', 'isa']
['augments', 'associated_with', 'coexists_with', 'complicates']
['augments', 'same_as', 'occurs_in', 'occurs_in']
['augments', 'isa', 'associated_with', 'same_as']
['augments', 'produces', 'coexists_with', 'inhibits']
['augments', 'stimulates', 'associated_with', 'stimulates']
['augments', 'compared_with', 'part_of', 'isa']
['augments', 'treats', 'augments', 'isa']
['augments', 'compared_with', 'prevents']
['augments', 'diagnoses', 'location_of', 'prevents']
['augments', 'inhibits', 'produces', 'diagnoses']
['augments', 'prevents', 'part_of', 'causes']
['augments', 'affects', 'location_of', 'complicates']
['augments', 'occurs_in', 'diagnoses', 'isa']
['augments', 'produces', 'disrupts', 'coexists_with']
['augments', 'part_of', 'prevents']
['augments', 'prevents', 'affects', 'complicates']
['augments', 'prevents', 'stimulates']
['augments', 'occurs_in', 'location_of', 'compared_with']
['augments', 'same_as', 'occurs_in', 'interacts_with']
['augments', 'compared_with', 'augments', 'coexists_with']
['augments', 'prevents', 'stimulates', 'complicates']
['augments', 'interacts_with', 'diagnoses', 'stimulates']
['augments', 'compared_with', 'treats', 'associated_with']
['augments', 'occurs_in', 'associated_with', 'compared_with']
['augments', 'complicates', 'same_as', 'prevents']
['augments', 'interacts_with', 'isa', 'part_of']
['augments', 'diagnoses', 'occurs_in', 'produces']
['augments', 'location_of', 'prevents', 'causes']
['augments', 'same_as', 'coexists_with', 'occurs_in']
['augments', 'inhibits', 'disrupts', 'stimulates']
['augments', 'occurs_in', 'occurs_in', 'causes']
['augments', 'treats', 'part_of', 'affects']
['augments', 'affects', 'complicates', 'produces']
['augments', 'diagnoses', 'associated_with', 'diagnoses']
['augments', 'associated_with', 'location_of', 'location_of']
['augments', 'augments', 'inhibits', 'occurs_in']
['augments', 'treats', 'complicates', 'affects']
['inhibits', 'interacts_with']
['inhibits', 'affects', 'compared_with', 'complicates']
['inhibits', 'treats', 'prevents', 'isa']
['inhibits', 'complicates', 'causes', 'disrupts']
['inhibits', 'isa', 'disrupts', 'treats']
['inhibits', 'produces', 'part_of', 'produces']
['inhibits', 'coexists_with', 'location_of', 'compared_with']
['inhibits', 'part_of', 'causes', 'prevents']
['inhibits', 'location_of', 'inhibits', 'disrupts']
['inhibits', 'disrupts', 'causes', 'augments']
['inhibits', 'coexists_with', 'stimulates', 'occurs_in']
['inhibits', 'associated_with', 'associated_with', 'prevents']
['inhibits', 'occurs_in', 'affects', 'location_of']
['inhibits', 'augments', 'disrupts', 'stimulates']
['inhibits', 'produces', 'treats', 'disrupts']
['inhibits', 'stimulates', 'diagnoses', 'treats']
['inhibits', 'interacts_with', 'location_of', 'augments']
['inhibits', 'interacts_with', 'location_of', 'associated_with']
['inhibits', 'disrupts', 'causes', 'stimulates']
['inhibits', 'stimulates', 'produces', 'disrupts']
['inhibits', 'coexists_with', 'isa', 'produces']
['inhibits', 'isa', 'occurs_in', 'treats']
['inhibits', 'diagnoses', 'part_of', 'part_of']
['inhibits', 'occurs_in', 'prevents', 'treats']
['inhibits', 'produces', 'stimulates', 'causes']
['inhibits', 'stimulates', 'produces', 'inhibits']
['inhibits', 'prevents', 'associated_with']
['inhibits', 'causes', 'location_of', 'causes']
['inhibits', 'associated_with', 'disrupts', 'inhibits']
['inhibits', 'augments', 'location_of', 'diagnoses']
['inhibits', 'treats', 'coexists_with', 'causes']
['inhibits', 'compared_with', 'produces', 'occurs_in']
['inhibits', 'same_as', 'same_as', 'augments']
['inhibits', 'causes', 'produces', 'stimulates']
['inhibits', 'compared_with', 'location_of', 'inhibits']
['inhibits', 'part_of', 'causes', 'produces']
['inhibits', 'associated_with', 'disrupts', 'same_as']
['inhibits', 'stimulates', 'part_of', 'isa']
['inhibits', 'same_as', 'coexists_with', 'produces']
['inhibits', 'occurs_in', 'diagnoses', 'produces']
['inhibits', 'same_as', 'coexists_with', 'associated_with']
['inhibits', 'diagnoses', 'disrupts', 'affects']
['inhibits', 'disrupts', 'augments']
['inhibits', 'affects', 'part_of', 'prevents']
['inhibits', 'interacts_with', 'produces', 'inhibits']
['inhibits', 'location_of', 'causes', 'occurs_in']
['inhibits', 'coexists_with', 'causes', 'disrupts']
['inhibits', 'inhibits', 'causes', 'associated_with']
['inhibits', 'part_of', 'complicates', 'interacts_with']
['inhibits', 'stimulates', 'treats', 'associated_with']
['inhibits', 'diagnoses', 'stimulates', 'same_as']
['inhibits', 'inhibits', 'produces', 'complicates']
['inhibits', 'diagnoses', 'coexists_with', 'coexists_with']
['inhibits', 'causes', 'augments']
['inhibits']
['inhibits', 'occurs_in', 'disrupts', 'location_of']
['inhibits', 'interacts_with', 'coexists_with', 'prevents']
['inhibits', 'diagnoses', 'causes', 'compared_with']
['inhibits', 'location_of', 'diagnoses', 'coexists_with']
['inhibits', 'isa', 'coexists_with', 'same_as']
['inhibits', 'produces', 'produces', 'occurs_in']
['inhibits', 'produces', 'causes', 'interacts_with']
['inhibits', 'same_as', 'treats', 'affects']
['inhibits', 'compared_with', 'augments', 'interacts_with']
['inhibits', 'augments', 'same_as', 'inhibits']
['inhibits', 'compared_with', 'isa', 'stimulates']
['inhibits', 'treats', 'treats', 'complicates']
['inhibits', 'stimulates', 'part_of', 'disrupts']
['inhibits', 'disrupts', 'causes', 'produces']
['inhibits', 'causes', 'prevents', 'causes']
['inhibits', 'part_of', 'stimulates', 'causes']
['inhibits', 'augments', 'affects', 'interacts_with']
['inhibits', 'disrupts', 'interacts_with', 'associated_with']
['inhibits', 'disrupts', 'augments', 'part_of']
['inhibits', 'augments', 'prevents', 'interacts_with']
['inhibits', 'complicates', 'affects', 'part_of']
['inhibits', 'compared_with', 'diagnoses', 'stimulates']
['inhibits', 'associated_with', 'interacts_with', 'diagnoses']
['inhibits', 'stimulates', 'stimulates', 'part_of']
['inhibits', 'affects', 'associated_with', 'augments']
['inhibits', 'affects', 'compared_with', 'compared_with']
['inhibits', 'causes']
['inhibits', 'produces', 'occurs_in', 'treats']
['inhibits', 'compared_with', 'coexists_with', 'augments']
['inhibits', 'inhibits', 'diagnoses', 'affects']
['inhibits', 'treats', 'occurs_in', 'prevents']
['inhibits', 'produces', 'part_of', 'causes']
['inhibits', 'associated_with', 'prevents', 'location_of']
['inhibits', 'stimulates', 'diagnoses', 'diagnoses']
['inhibits', 'produces', 'produces', 'causes']
['inhibits', 'stimulates', 'inhibits', 'produces']
['inhibits', 'complicates', 'augments', 'coexists_with']
['inhibits', 'diagnoses', 'inhibits', 'associated_with']
['inhibits', 'diagnoses', 'associated_with', 'stimulates']
['inhibits', 'associated_with', 'compared_with', 'stimulates']
['inhibits', 'produces', 'coexists_with']
['inhibits', 'isa', 'complicates', 'location_of']
['inhibits', 'causes', 'augments', 'inhibits']
['inhibits', 'location_of', 'compared_with', 'treats']
['causes', 'compared_with', 'isa', 'causes']
['causes', 'diagnoses', 'affects', 'affects']
['causes', 'coexists_with', 'causes', 'coexists_with']
['causes', 'augments', 'causes', 'interacts_with']
['causes', 'same_as', 'same_as', 'interacts_with']
['causes', 'stimulates', 'prevents', 'disrupts']
['causes', 'stimulates', 'diagnoses', 'produces']
['causes', 'associated_with', 'diagnoses', 'affects']
['causes', 'part_of', 'same_as', 'disrupts']
['causes', 'prevents', 'inhibits', 'affects']
['causes', 'same_as', 'stimulates', 'prevents']
['causes', 'stimulates', 'interacts_with']
['causes', 'causes', 'isa', 'location_of']
['causes', 'occurs_in', 'isa', 'same_as']
['causes', 'interacts_with', 'complicates', 'affects']
['causes', 'interacts_with', 'location_of', 'compared_with']
['causes', 'treats', 'inhibits', 'coexists_with']
['causes', 'stimulates', 'treats', 'treats']
['causes', 'disrupts', 'coexists_with', 'stimulates']
['causes', 'prevents', 'location_of', 'treats']
['causes', 'compared_with', 'associated_with', 'location_of']
['causes', 'produces', 'diagnoses', 'interacts_with']
['causes', 'interacts_with', 'associated_with', 'disrupts']
['causes', 'produces', 'same_as']
['causes', 'occurs_in', 'causes', 'same_as']
['causes', 'causes', 'compared_with', 'stimulates']
['causes', 'interacts_with']
['causes']
['causes', 'part_of', 'interacts_with', 'isa']
['causes', 'prevents', 'same_as', 'treats']
['causes', 'diagnoses', 'diagnoses', 'treats']
['causes', 'compared_with', 'produces', 'treats']
['causes', 'diagnoses', 'stimulates', 'associated_with']
['causes', 'compared_with', 'interacts_with', 'prevents']
['causes', 'occurs_in', 'causes', 'stimulates']
['causes', 'inhibits', 'compared_with', 'causes']
['causes', 'associated_with', 'occurs_in', 'part_of']
['causes', 'associated_with', 'associated_with', 'part_of']
['causes', 'same_as', 'compared_with', 'location_of']
['causes', 'affects', 'augments', 'isa']
['causes', 'stimulates', 'diagnoses', 'isa']
['causes', 'location_of', 'location_of', 'associated_with']
['causes', 'occurs_in', 'stimulates', 'coexists_with']
['causes', 'part_of', 'diagnoses', 'augments']
['causes', 'interacts_with', 'associated_with', 'prevents']
['causes', 'augments', 'complicates', 'same_as']
['causes', 'location_of', 'compared_with', 'treats']
['causes', 'prevents', 'coexists_with', 'prevents']
['causes', 'interacts_with', 'augments', 'produces']
['causes', 'interacts_with', 'stimulates', 'same_as']
['causes', 'part_of', 'location_of', 'produces']
['causes', 'location_of', 'interacts_with', 'disrupts']
['causes', 'augments', 'affects', 'same_as']
['causes', 'compared_with', 'location_of', 'location_of']
['causes', 'complicates', 'prevents', 'prevents']
['causes', 'part_of', 'causes', 'same_as']
['causes', 'interacts_with', 'same_as', 'same_as']
['causes', 'affects', 'same_as', 'causes']
['causes', 'coexists_with', 'complicates', 'isa']
['causes', 'diagnoses', 'interacts_with', 'produces']
['causes', 'occurs_in', 'treats', 'compared_with']
['causes', 'coexists_with', 'interacts_with', 'location_of']
['causes', 'isa', 'occurs_in', 'prevents']
['causes', 'inhibits', 'stimulates', 'interacts_with']
['causes', 'inhibits']
['causes', 'same_as', 'part_of']
['causes', 'complicates', 'location_of', 'associated_with']
['causes', 'same_as', 'interacts_with', 'disrupts']
['causes', 'coexists_with', 'location_of', 'part_of']
['causes', 'inhibits', 'prevents', 'associated_with']
['causes', 'stimulates']
['causes', 'produces', 'complicates', 'produces']
['causes', 'location_of', 'compared_with', 'diagnoses']
['causes', 'stimulates', 'compared_with', 'stimulates']
['causes', 'complicates', 'inhibits', 'coexists_with']
['causes', 'produces', 'stimulates', 'associated_with']
['causes', 'treats', 'compared_with', 'associated_with']
['causes', 'causes']
['causes', 'stimulates', 'isa', 'same_as']
['causes', 'prevents', 'associated_with', 'stimulates']
['causes', 'affects', 'location_of']
['causes', 'produces', 'augments', 'compared_with']
['causes', 'coexists_with', 'inhibits', 'coexists_with']
['causes', 'produces', 'treats', 'part_of']
['causes', 'disrupts', 'part_of', 'part_of']
['causes', 'treats', 'coexists_with', 'location_of']
['causes', 'interacts_with', 'produces', 'diagnoses']
['causes', 'prevents', 'same_as', 'associated_with']
['causes', 'location_of', 'produces', 'produces']
['causes', 'coexists_with', 'coexists_with', 'treats']
['causes', 'prevents', 'same_as', 'coexists_with']
['causes', 'part_of', 'location_of', 'disrupts']
['causes', 'causes', 'augments', 'location_of']
['causes', 'diagnoses', 'associated_with', 'compared_with']
['causes', 'stimulates', 'interacts_with', 'affects']
['stimulates', 'affects', 'causes', 'augments']
['stimulates', 'inhibits', 'compared_with', 'same_as']
['stimulates', 'isa', 'augments', 'compared_with']
['stimulates', 'inhibits', 'affects', 'produces']
['stimulates', 'stimulates', 'disrupts', 'diagnoses']
['stimulates', 'coexists_with', 'prevents', 'inhibits']
['stimulates', 'augments', 'coexists_with', 'diagnoses']
['stimulates', 'coexists_with', 'interacts_with', 'isa']
['stimulates', 'part_of', 'occurs_in', 'part_of']
['stimulates', 'associated_with', 'complicates', 'diagnoses']
['stimulates', 'location_of', 'part_of', 'treats']
['stimulates', 'occurs_in', 'occurs_in', 'coexists_with']
['stimulates', 'produces', 'treats', 'treats']
['stimulates', 'diagnoses', 'affects', 'isa']
['stimulates', 'affects', 'affects', 'prevents']
['stimulates', 'location_of', 'coexists_with', 'treats']
['stimulates', 'interacts_with', 'associated_with', 'isa']
['stimulates', 'augments', 'inhibits', 'same_as']
['stimulates', 'inhibits', 'disrupts', 'stimulates']
['stimulates', 'causes', 'complicates', 'part_of']
['stimulates', 'compared_with', 'diagnoses', 'prevents']
['stimulates', 'complicates', 'produces', 'interacts_with']
['stimulates', 'same_as', 'compared_with', 'same_as']
['stimulates', 'produces', 'isa', 'diagnoses']
['stimulates', 'interacts_with']
['stimulates', 'coexists_with', 'prevents', 'occurs_in']
['stimulates', 'associated_with', 'location_of', 'associated_with']
['stimulates', 'complicates', 'same_as', 'compared_with']
['stimulates', 'associated_with', 'interacts_with', 'same_as']
['stimulates', 'occurs_in', 'location_of', 'affects']
['stimulates', 'location_of', 'coexists_with', 'complicates']
['stimulates', 'complicates', 'isa', 'causes']
['stimulates', 'associated_with', 'causes', 'produces']
['stimulates', 'occurs_in']
['stimulates', 'same_as', 'coexists_with', 'produces']
['stimulates', 'occurs_in', 'stimulates', 'treats']
['stimulates', 'compared_with', 'associated_with', 'coexists_with']
['stimulates', 'compared_with', 'location_of', 'same_as']
['stimulates', 'coexists_with', 'treats', 'coexists_with']
['stimulates', 'compared_with', 'treats', 'stimulates']
['stimulates', 'occurs_in', 'causes', 'produces']
['stimulates', 'treats', 'location_of', 'affects']
['stimulates', 'augments', 'prevents', 'inhibits']
['stimulates', 'inhibits']
['stimulates', 'location_of', 'location_of', 'produces']
['stimulates', 'disrupts', 'diagnoses', 'produces']
['stimulates', 'coexists_with', 'inhibits', 'prevents']
['stimulates', 'affects', 'produces', 'part_of']
['stimulates', 'same_as', 'interacts_with', 'complicates']
['stimulates', 'same_as', 'location_of', 'augments']
['stimulates', 'diagnoses', 'interacts_with', 'part_of']
['stimulates', 'same_as', 'treats', 'occurs_in']
['stimulates', 'inhibits', 'treats', 'produces']
['stimulates', 'prevents', 'same_as', 'augments']
['stimulates', 'same_as', 'stimulates', 'complicates']
['stimulates', 'isa', 'complicates', 'diagnoses']
['stimulates', 'augments', 'coexists_with', 'produces']
['stimulates', 'compared_with', 'associated_with', 'affects']
['stimulates', 'complicates', 'location_of', 'complicates']
['stimulates', 'part_of', 'causes', 'interacts_with']
['stimulates', 'produces', 'inhibits', 'isa']
['stimulates', 'location_of', 'location_of', 'affects']
['stimulates', 'occurs_in', 'coexists_with', 'interacts_with']
['stimulates', 'occurs_in', 'coexists_with', 'diagnoses']
['stimulates', 'occurs_in', 'complicates', 'disrupts']
['stimulates', 'produces', 'prevents', 'part_of']
['stimulates', 'stimulates', 'stimulates', 'inhibits']
['stimulates', 'compared_with', 'causes', 'occurs_in']
['stimulates', 'location_of', 'prevents', 'part_of']
['stimulates', 'treats', 'stimulates', 'causes']
