['diagnoses', 'produces', 'associated_with', 'part_of']
['disrupts', 'associated_with', 'location_of', 'part_of']
['disrupts', 'produces', 'location_of', 'occurs_in']
['disrupts', 'affects', 'coexists_with', 'augments']
['disrupts', 'treats', 'inhibits', 'produces']
['disrupts', 'inhibits', 'associated_with', 'augments']
['disrupts', 'disrupts', 'location_of', 'augments']
['produces', 'disrupts', 'interacts_with', 'interacts_with']
['produces', 'isa', 'disrupts', 'causes']
['produces', 'prevents', 'occurs_in', 'disrupts']
['produces', 'diagnoses', 'interacts_with', 'isa']
['produces', 'treats', 'augments', 'interacts_with']
['produces', 'location_of', 'treats', 'affects']
['produces', 'location_of', 'occurs_in', 'same_as']
['produces', 'produces', 'augments', 'inhibits']
['produces', 'associated_with', 'causes', 'location_of']
['produces', 'associated_with', 'compared_with', 'augments']
['produces', 'coexists_with', 'treats', 'coexists_with']
['produces', 'coexists_with', 'location_of', 'disrupts']
['produces', 'isa', 'associated_with', 'associated_with']
['produces', 'associated_with', 'complicates', 'isa']
['produces', 'diagnoses', 'isa', 'treats']
['produces', 'associated_with', 'location_of', 'occurs_in']
['produces', 'causes', 'interacts_with', 'augments']
['produces', 'associated_with', 'occurs_in', 'disrupts']
['produces', 'stimulates', 'causes', 'interacts_with']
['produces', 'part_of', 'produces', 'same_as']
['produces', 'complicates', 'inhibits', 'produces']
['produces', 'diagnoses', 'isa', 'location_of']
['produces', 'disrupts', 'compared_with', 'location_of']
['produces', 'affects', 'prevents', 'diagnoses']
['produces', 'location_of', 'same_as', 'augments']
['produces', 'compared_with', 'occurs_in', 'causes']
['produces', 'affects', 'isa', 'diagnoses']
['produces', 'part_of', 'causes', 'inhibits']
['produces', 'complicates', 'produces', 'occurs_in']
['produces', 'causes', 'inhibits', 'treats']
['produces', 'produces', 'location_of', 'coexists_with']
['produces', 'interacts_with', 'prevents']
['produces', 'affects', 'complicates', 'augments']
['produces', 'coexists_with', 'occurs_in', 'complicates']
['produces', 'prevents', 'augments', 'causes']
['produces', 'complicates', 'disrupts', 'associated_with']
['produces', 'occurs_in', 'inhibits', 'location_of']
['produces', 'treats', 'coexists_with']
['produces', 'associated_with', 'part_of', 'part_of']
['produces', 'treats', 'coexists_with', 'inhibits']
['produces', 'compared_with', 'stimulates', 'affects']
['produces', 'affects', 'part_of', 'location_of']
['produces', 'compared_with', 'compared_with', 'location_of']
['produces', 'interacts_with', 'treats', 'affects']
['produces', 'disrupts', 'produces', 'affects']
['produces', 'stimulates', 'augments', 'disrupts']
['produces', 'associated_with', 'causes', 'disrupts']
['produces', 'inhibits', 'stimulates', 'affects']
['produces', 'augments', 'location_of', 'isa']
['produces', 'coexists_with', 'occurs_in', 'stimulates']
['produces', 'interacts_with', 'inhibits', 'affects']
['produces', 'treats', 'disrupts', 'occurs_in']
['produces', 'inhibits', 'associated_with', 'occurs_in']
['produces']
['produces', 'treats', 'inhibits', 'compared_with']
['produces', 'coexists_with', 'part_of', 'coexists_with']
['produces', 'diagnoses', 'coexists_with', 'prevents']
['produces', 'occurs_in', 'stimulates', 'coexists_with']
['produces', 'treats', 'occurs_in', 'causes']
['produces', 'coexists_with', 'causes', 'location_of']
['produces', 'location_of', 'part_of', 'inhibits']
['produces', 'causes', 'occurs_in']
['produces', 'same_as', 'disrupts', 'produces']
['produces', 'part_of', 'same_as', 'occurs_in']
['produces', 'same_as', 'causes', 'inhibits']
['produces', 'inhibits', 'associated_with', 'causes']
['produces', 'part_of', 'occurs_in', 'associated_with']
['produces', 'location_of', 'treats', 'compared_with']
['produces', 'prevents', 'affects', 'produces']
['produces', 'interacts_with', 'produces', 'compared_with']
['produces', 'prevents', 'produces', 'causes']
['produces', 'stimulates', 'disrupts', 'associated_with']
['produces', 'prevents', 'diagnoses', 'treats']
['produces', 'disrupts', 'part_of', 'compared_with']
['produces', 'produces', 'complicates', 'compared_with']
['produces', 'diagnoses', 'associated_with', 'disrupts']
['produces', 'causes', 'diagnoses', 'location_of']
['produces', 'causes', 'location_of']
['produces', 'compared_with', 'interacts_with', 'causes']
['produces', 'prevents', 'part_of', 'part_of']
['produces', 'isa', 'treats', 'inhibits']
['produces', 'compared_with', 'location_of', 'disrupts']
['produces', 'disrupts', 'complicates', 'produces']
['produces', 'prevents']
['produces', 'treats']
['produces', 'interacts_with', 'occurs_in', 'location_of']
['produces', 'disrupts', 'prevents', 'diagnoses']
['produces', 'prevents', 'stimulates', 'same_as']
['produces', 'augments', 'stimulates', 'stimulates']
['produces', 'complicates', 'affects', 'prevents']
['produces', 'same_as', 'complicates', 'produces']
['produces', 'compared_with', 'affects', 'stimulates']
['produces', 'stimulates', 'stimulates', 'produces']
['produces', 'affects', 'occurs_in', 'affects']
['produces', 'affects', 'affects', 'associated_with']
['produces', 'part_of', 'occurs_in', 'same_as']
['compared_with', 'prevents', 'stimulates', 'diagnoses']
['compared_with', 'causes', 'same_as', 'prevents']
['compared_with', 'part_of', 'inhibits', 'prevents']
['compared_with', 'same_as', 'affects', 'diagnoses']
['compared_with', 'compared_with', 'affects', 'coexists_with']
['compared_with', 'produces']
['compared_with', 'prevents', 'prevents', 'inhibits']
['compared_with', 'stimulates', 'augments', 'location_of']
['compared_with', 'disrupts', 'treats', 'compared_with']
['compared_with', 'interacts_with', 'disrupts', 'affects']
['compared_with', 'prevents', 'interacts_with', 'affects']
['compared_with', 'occurs_in', 'affects', 'occurs_in']
['compared_with', 'part_of', 'isa', 'coexists_with']
['compared_with', 'interacts_with', 'complicates', 'location_of']
['compared_with']
['compared_with', 'location_of', 'inhibits', 'produces']
['compared_with', 'part_of', 'part_of', 'inhibits']
['compared_with', 'part_of', 'associated_with', 'associated_with']
['compared_with', 'causes', 'stimulates', 'coexists_with']
['compared_with', 'same_as', 'compared_with', 'interacts_with']
['compared_with', 'same_as', 'part_of', 'prevents']
['compared_with', 'part_of', 'augments', 'isa']
['compared_with', 'disrupts', 'interacts_with', 'same_as']
['compared_with', 'compared_with', 'part_of', 'prevents']
['compared_with', 'causes', 'occurs_in', 'compared_with']
['compared_with', 'produces', 'causes', 'location_of']
['compared_with', 'compared_with', 'associated_with', 'inhibits']
['compared_with', 'affects', 'stimulates', 'stimulates']
['compared_with', 'part_of', 'isa', 'produces']
['compared_with', 'associated_with', 'treats', 'part_of']
['compared_with', 'inhibits']
['compared_with', 'isa', 'disrupts', 'coexists_with']
['compared_with', 'affects', 'associated_with', 'stimulates']
['compared_with', 'location_of', 'location_of', 'stimulates']
['compared_with', 'affects', 'coexists_with', 'compared_with']
['compared_with', 'isa', 'occurs_in', 'affects']
['compared_with', 'produces', 'associated_with', 'causes']
['compared_with', 'part_of', 'location_of', 'occurs_in']
['compared_with', 'same_as', 'disrupts', 'occurs_in']
['compared_with', 'location_of', 'prevents', 'disrupts']
['compared_with', 'same_as', 'diagnoses', 'coexists_with']
['compared_with', 'compared_with', 'stimulates', 'coexists_with']
['compared_with', 'interacts_with', 'associated_with', 'augments']
['compared_with', 'causes', 'complicates', 'coexists_with']
['compared_with', 'location_of', 'interacts_with', 'causes']
['compared_with', 'diagnoses', 'isa', 'stimulates']
['compared_with', 'same_as', 'complicates', 'isa']
['compared_with', 'complicates', 'associated_with', 'associated_with']
['compared_with', 'disrupts', 'diagnoses', 'prevents']
['compared_with', 'occurs_in', 'disrupts', 'causes']
['compared_with', 'same_as', 'complicates', 'occurs_in']
['compared_with', 'treats', 'complicates', 'coexists_with']
['compared_with', 'diagnoses', 'causes', 'causes']
['compared_with', 'inhibits', 'stimulates', 'coexists_with']
['compared_with', 'interacts_with', 'complicates', 'produces']
['compared_with', 'same_as', 'complicates', 'affects']
['compared_with', 'isa', 'part_of', 'isa']
['compared_with', 'inhibits', 'interacts_with', 'same_as']
['compared_with', 'isa', 'augments', 'isa']
['compared_with', 'coexists_with', 'interacts_with', 'location_of']
['compared_with', 'location_of', 'complicates', 'disrupts']
['compared_with', 'diagnoses', 'treats', 'compared_with']
['compared_with', 'isa', 'produces', 'occurs_in']
['compared_with', 'isa', 'diagnoses', 'disrupts']
['compared_with', 'causes', 'interacts_with', 'compared_with']
['compared_with', 'part_of', 'part_of', 'affects']
['compared_with', 'compared_with', 'diagnoses', 'affects']
['compared_with', 'part_of', 'prevents', 'affects']
['compared_with', 'affects', 'treats', 'stimulates']
['compared_with', 'treats', 'diagnoses', 'affects']
['compared_with', 'coexists_with', 'location_of', 'produces']
['compared_with', 'isa', 'causes', 'interacts_with']
['compared_with', 'causes', 'stimulates', 'prevents']
['compared_with', 'occurs_in', 'stimulates', 'inhibits']
['compared_with', 'complicates', 'part_of', 'disrupts']
['compared_with', 'interacts_with', 'augments', 'associated_with']
['compared_with', 'same_as', 'prevents', 'disrupts']
['compared_with', 'affects', 'compared_with', 'disrupts']
['compared_with', 'causes', 'augments', 'disrupts']
['compared_with', 'occurs_in', 'occurs_in', 'associated_with']
['compared_with', 'isa', 'stimulates', 'compared_with']
['compared_with', 'isa']
['compared_with', 'complicates', 'disrupts', 'occurs_in']
['compared_with', 'associated_with', 'occurs_in', 'location_of']
['compared_with', 'produces', 'stimulates', 'isa']
['compared_with', 'causes', 'compared_with', 'complicates']
['compared_with', 'occurs_in', 'same_as', 'occurs_in']
['compared_with', 'complicates', 'diagnoses', 'isa']
['compared_with', 'complicates', 'associated_with', 'isa']
['compared_with', 'treats', 'causes', 'occurs_in']
['compared_with', 'part_of', 'interacts_with']
['compared_with', 'prevents', 'associated_with', 'disrupts']
['compared_with', 'stimulates', 'same_as', 'same_as']
['compared_with', 'disrupts']
['compared_with', 'compared_with', 'augments', 'occurs_in']
['compared_with', 'disrupts', 'diagnoses']
['compared_with', 'stimulates', 'stimulates', 'produces']
['compared_with', 'treats', 'produces', 'complicates']
['augments', 'produces', 'associated_with', 'stimulates']
['augments', 'coexists_with', 'compared_with', 'location_of']
['augments', 'coexists_with', 'treats', 'same_as']
['augments', 'produces', 'affects', 'location_of']
['augments', 'associated_with', 'treats', 'produces']
['augments', 'coexists_with', 'causes', 'augments']
['augments', 'stimulates', 'causes', 'causes']
['augments', 'augments', 'causes', 'inhibits']
['augments', 'causes', 'produces', 'treats']
['augments', 'complicates', 'associated_with', 'stimulates']
['augments', 'causes', 'compared_with', 'same_as']
['augments', 'affects', 'part_of', 'causes']
['augments', 'augments', 'treats', 'isa']
['augments', 'augments', 'causes', 'stimulates']
['augments', 'stimulates', 'interacts_with', 'produces']
['augments', 'same_as', 'complicates', 'location_of']
['augments', 'treats']
['augments', 'interacts_with', 'disrupts', 'interacts_with']
['augments', 'causes', 'associated_with', 'inhibits']
['augments', 'stimulates', 'inhibits', 'prevents']
['augments', 'same_as', 'prevents', 'disrupts']
['augments', 'prevents', 'occurs_in', 'compared_with']
['augments', 'location_of', 'part_of', 'occurs_in']
['augments', 'produces', 'inhibits', 'complicates']
['augments', 'part_of', 'coexists_with', 'stimulates']
['augments', 'associated_with', 'same_as', 'prevents']
['augments', 'augments', 'location_of', 'augments']
['augments', 'compared_with', 'stimulates', 'diagnoses']
['augments', 'same_as', 'occurs_in', 'location_of']
['augments', 'associated_with', 'complicates', 'prevents']
['augments', 'stimulates', 'same_as', 'complicates']
['augments', 'occurs_in', 'complicates', 'causes']
['augments', 'stimulates', 'inhibits', 'occurs_in']
['augments', 'isa', 'coexists_with']
['augments', 'prevents', 'treats', 'isa']
['augments', 'associated_with', 'augments', 'diagnoses']
['augments', 'part_of', 'treats', 'prevents']
['augments', 'prevents', 'prevents', 'affects']
['augments', 'produces', 'affects', 'coexists_with']
['augments', 'stimulates', 'compared_with', 'location_of']
['augments', 'inhibits', 'location_of', 'compared_with']
['augments', 'interacts_with', 'prevents', 'affects']
['augments', 'same_as', 'isa', 'isa']
['augments', 'isa', 'location_of', 'stimulates']
['augments', 'associated_with', 'part_of', 'isa']
['augments', 'compared_with', 'produces', 'part_of']
['augments', 'treats', 'compared_with', 'stimulates']
['augments', 'interacts_with', 'location_of', 'location_of']
['augments', 'coexists_with', 'occurs_in', 'disrupts']
['augments', 'coexists_with', 'affects', 'prevents']
['augments', 'coexists_with', 'augments', 'disrupts']
['augments', 'occurs_in', 'prevents', 'causes']
['augments', 'compared_with', 'associated_with', 'treats']
['augments', 'disrupts', 'associated_with', 'disrupts']
['augments', 'disrupts', 'complicates', 'affects']
['augments', 'prevents', 'treats']
['augments', 'part_of', 'location_of', 'augments']
['augments', 'associated_with', 'location_of', 'occurs_in']
['augments', 'diagnoses', 'compared_with', 'coexists_with']
['augments', 'occurs_in']
['augments', 'augments', 'complicates', 'stimulates']
['augments', 'occurs_in', 'produces', 'complicates']
['augments', 'causes', 'location_of', 'part_of']
['augments', 'compared_with', 'coexists_with', 'occurs_in']
['augments', 'produces', 'isa', 'location_of']
['augments', 'complicates']
['augments', 'prevents', 'compared_with', 'isa']
['augments', 'isa', 'same_as', 'augments']
['augments']
['augments', 'augments', 'disrupts', 'complicates']
['augments', 'augments', 'same_as', 'location_of']
['augments', 'inhibits', 'produces', 'compared_with']
['augments', 'coexists_with', 'causes', 'inhibits']
['augments', 'part_of', 'diagnoses', 'affects']
['augments', 'complicates', 'prevents', 'stimulates']
['augments', 'associated_with', 'compared_with', 'associated_with']
['augments', 'occurs_in', 'complicates', 'interacts_with']
['augments', 'inhibits', 'compared_with', 'associated_with']
['augments', 'associated_with', 'interacts_with', 'treats']
['augments', 'inhibits', 'isa', 'inhibits']
['augments', 'complicates', 'same_as', 'same_as']
['augments', 'isa', 'compared_with', 'causes']
['augments', 'affects', 'treats', 'same_as']
['augments', 'complicates', 'complicates', 'associated_with']
['augments', 'diagnoses']
['augments', 'augments', 'causes', 'interacts_with']
['augments', 'disrupts', 'stimulates', 'same_as']
['augments', 'coexists_with', 'treats', 'part_of']
['augments', 'complicates', 'location_of', 'stimulates']
['augments', 'occurs_in', 'affects', 'treats']
['augments', 'isa']
['augments', 'treats', 'isa', 'causes']
['inhibits', 'disrupts', 'isa', 'location_of']
['inhibits', 'inhibits', 'causes', 'produces']
['inhibits', 'affects', 'isa', 'isa']
['inhibits', 'produces']
['inhibits', 'interacts_with', 'location_of', 'part_of']
['inhibits', 'associated_with', 'complicates', 'same_as']
['inhibits', 'produces', 'prevents', 'compared_with']
['inhibits', 'causes', 'affects', 'diagnoses']
['inhibits', 'part_of', 'augments', 'occurs_in']
['inhibits']
['inhibits', 'treats', 'disrupts', 'coexists_with']
['inhibits', 'disrupts', 'same_as', 'causes']
['inhibits', 'complicates', 'affects', 'prevents']
['inhibits', 'coexists_with', 'disrupts', 'associated_with']
['inhibits', 'prevents', 'location_of', 'inhibits']
['inhibits', 'inhibits', 'treats', 'inhibits']
['inhibits', 'location_of', 'treats', 'associated_with']
['inhibits', 'inhibits', 'complicates', 'diagnoses']
['inhibits', 'interacts_with', 'causes']
['inhibits', 'disrupts', 'compared_with', 'occurs_in']
['inhibits', 'affects', 'interacts_with', 'prevents']
['inhibits', 'interacts_with', 'complicates', 'associated_with']
['inhibits', 'diagnoses', 'augments', 'same_as']
['inhibits', 'diagnoses', 'diagnoses', 'produces']
['inhibits', 'location_of', 'isa', 'interacts_with']
['inhibits', 'part_of', 'affects', 'part_of']
['inhibits', 'produces', 'same_as', 'occurs_in']
['inhibits', 'produces', 'diagnoses', 'part_of']
['inhibits', 'diagnoses', 'coexists_with', 'part_of']
['inhibits', 'same_as', 'complicates', 'location_of']
['inhibits', 'occurs_in', 'stimulates', 'treats']
['inhibits', 'affects', 'location_of', 'compared_with']
['inhibits', 'causes', 'treats', 'same_as']
['inhibits', 'inhibits', 'compared_with', 'occurs_in']
['inhibits', 'stimulates', 'location_of', 'location_of']
['inhibits', 'affects', 'compared_with', 'same_as']
['inhibits', 'occurs_in', 'prevents', 'isa']
['inhibits', 'affects', 'same_as', 'affects']
['inhibits', 'disrupts', 'stimulates', 'occurs_in']
['inhibits', 'disrupts', 'treats', 'part_of']
['inhibits', 'associated_with', 'affects', 'produces']
['inhibits', 'occurs_in', 'location_of', 'treats']
['inhibits', 'augments', 'diagnoses', 'disrupts']
['inhibits', 'compared_with', 'produces', 'treats']
['inhibits', 'treats', 'interacts_with']
['inhibits', 'same_as', 'prevents', 'interacts_with']
['inhibits', 'isa', 'compared_with', 'disrupts']
['inhibits', 'augments', 'augments', 'treats']
['inhibits', 'interacts_with']
['inhibits', 'treats', 'compared_with', 'location_of']
['inhibits', 'affects', 'affects', 'treats']
['inhibits', 'stimulates', 'causes', 'prevents']
['inhibits', 'interacts_with', 'produces', 'stimulates']
['inhibits', 'compared_with', 'location_of', 'coexists_with']
['inhibits', 'occurs_in', 'inhibits', 'causes']
['inhibits', 'diagnoses', 'produces', 'location_of']
['inhibits', 'stimulates', 'produces', 'coexists_with']
['inhibits', 'treats', 'produces', 'augments']
['inhibits', 'coexists_with', 'coexists_with', 'associated_with']
['inhibits', 'complicates', 'isa', 'prevents']
['inhibits', 'disrupts', 'augments', 'diagnoses']
['inhibits', 'coexists_with', 'location_of', 'part_of']
['inhibits', 'same_as', 'disrupts', 'part_of']
['inhibits', 'part_of', 'part_of', 'compared_with']
['inhibits', 'location_of', 'associated_with', 'same_as']
['inhibits', 'prevents', 'disrupts', 'affects']
['inhibits', 'occurs_in', 'disrupts', 'affects']
['inhibits', 'isa', 'treats', 'diagnoses']
['inhibits', 'diagnoses', 'inhibits', 'complicates']
['inhibits', 'location_of', 'prevents', 'disrupts']
['inhibits', 'isa', 'isa', 'complicates']
['inhibits', 'coexists_with', 'prevents', 'compared_with']
['inhibits', 'treats', 'produces', 'interacts_with']
['inhibits', 'part_of', 'complicates', 'diagnoses']
['inhibits', 'prevents', 'location_of', 'disrupts']
['inhibits', 'inhibits', 'occurs_in', 'part_of']
['inhibits', 'complicates']
['inhibits', 'compared_with', 'compared_with']
['inhibits', 'affects', 'causes', 'prevents']
['inhibits', 'treats', 'interacts_with', 'affects']
['inhibits', 'associated_with', 'interacts_with', 'augments']
['inhibits', 'complicates', 'interacts_with', 'associated_with']
['inhibits', 'associated_with', 'produces', 'augments']
['inhibits', 'occurs_in', 'diagnoses', 'stimulates']
['inhibits', 'prevents', 'same_as', 'occurs_in']
['inhibits', 'stimulates']
['inhibits', 'stimulates', 'compared_with', 'occurs_in']
['inhibits', 'prevents', 'stimulates', 'augments']
['inhibits', 'diagnoses', 'coexists_with', 'diagnoses']
['inhibits', 'complicates', 'same_as', 'augments']
['inhibits', 'occurs_in', 'causes', 'location_of']
['inhibits', 'occurs_in', 'disrupts', 'part_of']
['inhibits', 'location_of', 'disrupts', 'treats']
['inhibits', 'location_of', 'part_of', 'diagnoses']
['inhibits', 'complicates', 'augments', 'prevents']
['causes', 'disrupts', 'disrupts', 'stimulates']
['causes']
['causes', 'same_as', 'location_of', 'disrupts']
['causes', 'isa', 'affects', 'isa']
['causes', 'associated_with', 'stimulates', 'associated_with']
['causes', 'prevents', 'location_of', 'interacts_with']
['causes', 'augments', 'diagnoses', 'interacts_with']
['causes', 'diagnoses', 'isa', 'occurs_in']
['causes', 'associated_with', 'treats', 'augments']
['causes', 'augments', 'causes', 'stimulates']
['causes', 'stimulates', 'isa', 'diagnoses']
['causes', 'inhibits', 'produces', 'treats']
['causes', 'affects', 'causes', 'part_of']
['causes', 'stimulates', 'causes', 'part_of']
['causes', 'part_of', 'part_of', 'part_of']
['causes', 'causes', 'isa', 'augments']
['causes', 'isa', 'causes', 'diagnoses']
['causes', 'prevents', 'diagnoses', 'part_of']
['causes', 'affects', 'prevents', 'stimulates']
['causes', 'same_as', 'produces', 'same_as']
['causes', 'coexists_with', 'causes', 'prevents']
['causes', 'interacts_with', 'prevents', 'location_of']
['causes', 'part_of', 'diagnoses', 'isa']
['causes', 'prevents', 'augments', 'inhibits']
['causes', 'associated_with', 'inhibits', 'part_of']
['causes', 'interacts_with', 'compared_with', 'augments']
['causes', 'part_of', 'affects', 'produces']
['causes', 'same_as', 'treats', 'disrupts']
['causes', 'disrupts', 'interacts_with', 'prevents']
['causes', 'complicates', 'associated_with', 'diagnoses']
['causes', 'associated_with', 'inhibits', 'prevents']
['causes', 'disrupts', 'isa', 'same_as']
['causes', 'causes', 'same_as']
['causes', 'part_of', 'augments', 'diagnoses']
['causes', 'location_of', 'coexists_with', 'interacts_with']
['causes', 'affects', 'diagnoses', 'treats']
['causes', 'interacts_with', 'complicates', 'complicates']
['causes', 'inhibits', 'prevents', 'affects']
['causes', 'part_of', 'isa', 'same_as']
['causes', 'augments', 'stimulates', 'complicates']
['causes', 'part_of', 'produces', 'interacts_with']
['causes', 'disrupts', 'complicates', 'compared_with']
['causes', 'produces', 'causes', 'occurs_in']
['causes', 'compared_with', 'diagnoses', 'augments']
['causes', 'complicates', 'complicates', 'causes']
['causes', 'part_of', 'affects', 'same_as']
['causes', 'inhibits', 'affects', 'treats']
['causes', 'associated_with', 'causes']
['causes', 'coexists_with', 'affects', 'location_of']
['causes', 'isa', 'interacts_with', 'diagnoses']
['causes', 'occurs_in', 'diagnoses', 'occurs_in']
['causes', 'diagnoses', 'location_of', 'disrupts']
['causes', 'causes', 'interacts_with', 'associated_with']
['causes', 'complicates', 'stimulates', 'location_of']
['causes', 'complicates', 'occurs_in', 'location_of']
['causes', 'part_of', 'interacts_with', 'augments']
['causes', 'prevents', 'inhibits', 'augments']
['causes', 'occurs_in', 'location_of', 'treats']
['causes', 'affects', 'compared_with', 'coexists_with']
['causes', 'inhibits', 'location_of', 'part_of']
['causes', 'disrupts', 'produces', 'complicates']
['causes', 'prevents', 'disrupts', 'treats']
['causes', 'complicates', 'occurs_in', 'coexists_with']
['causes', 'causes', 'augments', 'coexists_with']
['causes', 'complicates', 'stimulates', 'inhibits']
['causes', 'location_of', 'produces', 'coexists_with']
['causes', 'affects', 'associated_with', 'location_of']
['causes', 'causes', 'isa', 'affects']
['causes', 'inhibits', 'complicates', 'interacts_with']
['causes', 'augments', 'stimulates', 'compared_with']
['causes', 'prevents', 'occurs_in', 'causes']
['causes', 'location_of', 'augments', 'stimulates']
['causes', 'affects', 'isa', 'produces']
['causes', 'augments', 'disrupts', 'same_as']
['causes', 'affects', 'stimulates', 'part_of']
['causes', 'causes', 'complicates', 'disrupts']
['causes', 'augments']
['causes', 'complicates', 'coexists_with', 'same_as']
['causes', 'isa', 'stimulates', 'treats']
['causes', 'produces', 'diagnoses', 'location_of']
['causes', 'interacts_with', 'diagnoses', 'location_of']
['causes', 'complicates', 'part_of', 'augments']
['causes', 'same_as', 'interacts_with', 'augments']
['causes', 'stimulates', 'occurs_in', 'prevents']
['causes', 'associated_with', 'prevents', 'location_of']
['causes', 'treats', 'inhibits', 'part_of']
['causes', 'affects', 'complicates', 'affects']
['causes', 'inhibits', 'disrupts', 'same_as']
['causes', 'isa', 'part_of']
['causes', 'coexists_with', 'associated_with', 'augments']
['causes', 'interacts_with', 'location_of', 'stimulates']
['causes', 'compared_with', 'produces', 'affects']
['causes', 'inhibits', 'stimulates', 'diagnoses']
['causes', 'compared_with', 'affects', 'isa']
['causes', 'complicates', 'part_of', 'affects']
['causes', 'inhibits', 'coexists_with', 'affects']
['stimulates', 'location_of', 'affects', 'causes']
['stimulates', 'produces', 'disrupts', 'interacts_with']
['stimulates', 'diagnoses', 'treats', 'compared_with']
['stimulates', 'diagnoses', 'treats', 'part_of']
['stimulates', 'produces']
['stimulates', 'augments']
['stimulates', 'same_as', 'complicates', 'inhibits']
['stimulates', 'same_as', 'compared_with', 'part_of']
['stimulates', 'complicates', 'prevents', 'augments']
['stimulates', 'treats', 'same_as', 'disrupts']
['stimulates', 'disrupts', 'associated_with', 'disrupts']
['stimulates', 'isa', 'causes', 'occurs_in']
['stimulates', 'complicates', 'interacts_with', 'treats']
['stimulates', 'compared_with', 'augments', 'diagnoses']
['stimulates', 'occurs_in', 'associated_with', 'occurs_in']
['stimulates', 'location_of', 'compared_with', 'complicates']
['stimulates', 'location_of', 'stimulates', 'compared_with']
['stimulates', 'same_as', 'isa', 'augments']
['stimulates', 'interacts_with', 'disrupts', 'compared_with']
['stimulates', 'isa', 'part_of', 'location_of']
['stimulates', 'diagnoses', 'interacts_with', 'interacts_with']
['stimulates', 'location_of', 'same_as', 'produces']
['stimulates', 'location_of', 'causes', 'associated_with']
['stimulates', 'associated_with', 'prevents', 'part_of']
['stimulates', 'isa', 'diagnoses', 'diagnoses']
['stimulates', 'disrupts', 'treats', 'treats']
['stimulates', 'same_as', 'associated_with', 'causes']
['stimulates', 'inhibits', 'occurs_in', 'causes']
['stimulates', 'diagnoses', 'coexists_with', 'inhibits']
['stimulates', 'complicates', 'affects', 'treats']
['stimulates', 'occurs_in', 'occurs_in', 'inhibits']
['stimulates', 'inhibits', 'stimulates', 'location_of']
['stimulates', 'treats', 'same_as', 'associated_with']
['stimulates', 'inhibits', 'produces', 'stimulates']
['stimulates', 'compared_with', 'diagnoses', 'occurs_in']
['stimulates', 'associated_with', 'interacts_with', 'augments']
['stimulates', 'associated_with', 'location_of', 'stimulates']
['stimulates', 'stimulates', 'inhibits', 'diagnoses']
['stimulates', 'disrupts', 'prevents', 'prevents']
['stimulates', 'inhibits', 'isa']
['stimulates', 'part_of', 'isa', 'part_of']
['stimulates', 'augments', 'affects', 'augments']
['stimulates', 'causes', 'diagnoses', 'affects']
['stimulates', 'part_of', 'causes', 'stimulates']
['stimulates']
['stimulates', 'part_of', 'location_of', 'isa']
['stimulates', 'disrupts', 'treats', 'prevents']
['stimulates', 'same_as', 'affects']
['stimulates', 'disrupts', 'disrupts', 'compared_with']
['stimulates', 'treats', 'augments', 'disrupts']
['stimulates', 'produces', 'compared_with']
['stimulates', 'affects', 'part_of', 'compared_with']
['stimulates', 'isa', 'coexists_with', 'prevents']
['stimulates', 'inhibits', 'complicates', 'same_as']
['stimulates', 'augments', 'part_of']
['stimulates', 'diagnoses', 'location_of', 'augments']
['stimulates', 'coexists_with', 'complicates', 'augments']
['stimulates', 'location_of', 'augments', 'treats']
['stimulates', 'location_of', 'coexists_with']
['stimulates', 'associated_with', 'produces', 'inhibits']
['stimulates', 'causes', 'augments', 'part_of']
['stimulates', 'augments', 'isa', 'produces']
['stimulates', 'occurs_in', 'augments', 'produces']
['stimulates', 'produces', 'occurs_in', 'isa']
['stimulates', 'interacts_with', 'causes', 'causes']
['stimulates', 'interacts_with', 'same_as', 'same_as']
['stimulates', 'stimulates', 'inhibits', 'interacts_with']
['stimulates', 'produces', 'augments', 'compared_with']
['stimulates', 'location_of', 'coexists_with', 'prevents']
['stimulates', 'affects', 'associated_with', 'stimulates']
['stimulates', 'diagnoses']
['stimulates', 'occurs_in', 'interacts_with', 'coexists_with']
['stimulates', 'disrupts', 'same_as', 'complicates']
['stimulates', 'location_of', 'produces', 'disrupts']
['stimulates', 'inhibits', 'associated_with', 'complicates']
['stimulates', 'isa', 'inhibits', 'prevents']
['stimulates', 'coexists_with', 'compared_with', 'occurs_in']
['stimulates', 'augments', 'occurs_in', 'affects']
['stimulates', 'associated_with', 'same_as', 'causes']
['stimulates', 'interacts_with', 'produces']
['stimulates', 'produces', 'isa', 'causes']
['stimulates', 'stimulates', 'disrupts', 'treats']
['stimulates', 'produces', 'prevents', 'produces']
['stimulates', 'inhibits', 'stimulates', 'affects']
['stimulates', 'augments', 'isa', 'inhibits']
['stimulates', 'coexists_with', 'augments', 'same_as']
['stimulates', 'disrupts', 'complicates', 'interacts_with']
['stimulates', 'affects', 'diagnoses', 'inhibits']
['stimulates', 'associated_with', 'causes', 'location_of']
['stimulates', 'augments', 'stimulates', 'location_of']
['stimulates', 'augments', 'diagnoses', 'prevents']
['stimulates', 'disrupts', 'prevents', 'produces']
['stimulates', 'same_as', 'associated_with', 'location_of']
['stimulates', 'prevents', 'inhibits', 'augments']
['stimulates', 'treats', 'affects', 'same_as']
['stimulates', 'affects', 'part_of', 'associated_with']
